tier,start_time,end_time,gaze
person 1_Gaze,0.0,0.7916666666666666,apple 1
person 1_Gaze,0.7916666666666666,0.9583333333333334,right
person 1_Gaze,0.9583333333333334,1.125,front
person 1_Gaze,1.125,1.2916666666666667,left
person 1_Gaze,1.2916666666666667,1.4583333333333333,front
person 1_Gaze,1.4583333333333333,2.6666666666666665,right
person 1_Gaze,2.6666666666666665,2.7916666666666665,person 2's face
person 1_Gaze,2.7916666666666665,3.0833333333333335,right
person 1_Gaze,3.0833333333333335,3.125,front
person 1_Gaze,3.125,3.5416666666666665,person 2's face
person 1_Gaze,3.5416666666666665,3.7083333333333335,front
person 1_Gaze,3.7083333333333335,4.041666666666667,right
person 1_Gaze,4.041666666666667,4.583333333333333,front
person 1_Gaze,4.583333333333333,4.791666666666667,right
person 1_Gaze,4.791666666666667,5.125,front
person 1_Gaze,5.125,5.375,right
person 1_Gaze,5.375,5.416666666666667,front
person 1_Gaze,5.416666666666667,5.541666666666667,right
person 1_Gaze,5.541666666666667,5.791666666666667,up
person 1_Gaze,5.791666666666667,5.833333333333333,up right
person 2_Gaze,0.0,0.7916666666666666,apple 1
person 2_Gaze,0.7916666666666666,2.0833333333333335,down left
person 2_Gaze,2.0833333333333335,2.5833333333333335,left
person 2_Gaze,2.5833333333333335,3.5,person 1's face
person 2_Gaze,3.5,3.7916666666666665,apple 1
person 2_Gaze,3.7916666666666665,4.041666666666667,person 1's face
person 2_Gaze,4.041666666666667,4.416666666666667,apple 1
person 2_Gaze,4.416666666666667,4.458333333333333,left
person 2_Gaze,4.458333333333333,4.625,down left
person 2_Gaze,4.625,4.708333333333333,apple 1
person 2_Gaze,4.708333333333333,5.833333333333333,down left
