frame_idx,cls,track_id,object_detected,source,conf,x1,y1,x2,y2,pose_keypoints,label
0,person,1,True,pose,0.9378225604693095,376,3,1366,551,"[[851.7279052734375, 174.31369018554688, 0.9974258542060852], [914.0885620117188, 96.89127349853516, 0.9995675683021545], [799.5130615234375, 111.59442901611328, 0.9943994879722595], [1077.916259765625, 78.32695770263672, 0.9933793544769287], [766.8931884765625, 109.40636444091797, 0.08634940534830093], [1182.0411376953125, 199.937255859375, 0.9382331967353821], [795.5074462890625, 212.15463256835938, 0.9910551309585571], [1341.9881591796875, 422.42669677734375, 0.7690066695213318], [535.8285522460938, 414.5541076660156, 0.6464496850967407], [963.8968505859375, 396.31036376953125, 0.9975899457931519], [513.0035400390625, 366.4573669433594, 0.8680544495582581], [1186.2015380859375, 640.7781372070312, 0.13145078718662262], [919.172119140625, 633.4591674804688, 0.18382154405117035], [1109.1834716796875, 570.4517211914062, 0.010907578282058239], [758.3579711914062, 571.1229858398438, 0.005869357381016016], [1047.9423828125, 595.436279296875, 0.004237178713083267], [824.6104125976562, 575.0536499023438, 0.004181671887636185]]",person 1
0,person,2,True,pose,0.7192564010620117,1,1,680,615,"[[392.1416320800781, 158.35198974609375, 0.9970581531524658], [441.5011291503906, 107.63953399658203, 0.9955335855484009], [319.6698303222656, 88.69498443603516, 0.9967561364173889], [480.31378173828125, 126.89231872558594, 0.02637188695371151], [152.7354736328125, 89.63449096679688, 0.9326802492141724], [412.3398132324219, 350.3092346191406, 0.8434565663337708], [44.40177917480469, 307.451904296875, 0.7970234155654907], [486.6638488769531, 531.3429565429688, 0.1987256109714508], [77.72823333740234, 480.908935546875, 0.913935661315918], [592.2632446289062, 425.6548767089844, 0.12326379120349884], [519.960205078125, 447.5927734375, 0.9734475016593933], [363.3359375, 734.716552734375, 0.0234681349247694], [110.68085479736328, 755.6886596679688, 0.03549852594733238], [523.013671875, 569.9177856445312, 0.001764971180818975], [302.3262939453125, 625.1898193359375, 0.005098959431052208], [476.9003601074219, 619.4158935546875, 0.0009100326569750905], [343.2601318359375, 630.4478149414062, 0.0013210518518462777]]",person 2
1,person,1,True,pose,0.9375565052032471,376,3,1366,551,"[[850.0343627929688, 173.25701904296875, 0.9973854422569275], [912.471435546875, 96.47171783447266, 0.9995720982551575], [798.1563110351562, 110.8541259765625, 0.9943771958351135], [1077.32958984375, 77.85271453857422, 0.9936222434043884], [765.5933837890625, 108.2795639038086, 0.08173109591007233], [1181.657958984375, 199.58082580566406, 0.9383704662322998], [793.659423828125, 210.5512237548828, 0.9912723898887634], [1341.442138671875, 423.00921630859375, 0.7742720246315002], [538.6962280273438, 412.97735595703125, 0.6569092273712158], [964.00927734375, 396.43646240234375, 0.9975451827049255], [513.7229614257812, 369.77398681640625, 0.8576344847679138], [1182.700927734375, 640.223388671875, 0.1299857497215271], [914.3140869140625, 632.3380737304688, 0.18535171449184418], [1107.8255615234375, 569.3966674804688, 0.010866427794098854], [755.9462280273438, 570.0213623046875, 0.005985936149954796], [1047.1337890625, 593.8577880859375, 0.004205247852951288], [823.4459838867188, 574.1426391601562, 0.004176334012299776]]",person 1
1,person,2,True,pose,0.7285842448472977,1,1,683,615,"[[391.9144287109375, 158.21665954589844, 0.9970784187316895], [441.5843811035156, 107.56346893310547, 0.9954190254211426], [319.2639465332031, 88.5730972290039, 0.9967014193534851], [480.5116882324219, 127.15060424804688, 0.025979356840252876], [152.25001525878906, 89.84951782226562, 0.9329131841659546], [411.2719421386719, 349.0699768066406, 0.8434098958969116], [43.1455192565918, 308.0551452636719, 0.7996578812599182], [486.0534362792969, 529.6364135742188, 0.20931991934776306], [78.83875274658203, 482.20477294921875, 0.9153228402137756], [591.6947631835938, 424.3824462890625, 0.13055679202079773], [521.3980102539062, 446.0657043457031, 0.9743839502334595], [359.36883544921875, 729.3353881835938, 0.023392727598547935], [108.27979278564453, 751.2697143554688, 0.03562379628419876], [520.3297729492188, 564.5324096679688, 0.0018339455127716064], [302.86334228515625, 619.8076171875, 0.005486528854817152], [476.22772216796875, 614.7710571289062, 0.0009292428148910403], [345.72747802734375, 626.3394775390625, 0.0014055769424885511]]",person 2
2,person,1,True,pose,0.9375030636787415,376,3,1366,551,"[[847.2488403320312, 172.68833923339844, 0.9973618388175964], [909.0343627929688, 96.26526641845703, 0.9995927214622498], [796.5554809570312, 110.17176055908203, 0.9939806461334229], [1075.8997802734375, 78.28933715820312, 0.9936195015907288], [765.8755493164062, 107.96247863769531, 0.06974002718925476], [1182.5750732421875, 199.11810302734375, 0.9353527426719666], [794.0778198242188, 212.70065307617188, 0.9911189675331116], [1341.8204345703125, 423.6862487792969, 0.7887535095214844], [535.314453125, 409.6951599121094, 0.6809302568435669], [960.2496948242188, 395.54766845703125, 0.9975582361221313], [520.0621337890625, 375.61138916015625, 0.8612769246101379], [1184.0037841796875, 637.890869140625, 0.1169871836900711], [916.261962890625, 630.975830078125, 0.17287090420722961], [1107.745849609375, 563.0988159179688, 0.011029906570911407], [758.8776245117188, 564.9252319335938, 0.006317198276519775], [1045.2120361328125, 589.640625, 0.004091412294656038], [827.1764526367188, 570.634033203125, 0.004177692346274853]]",person 1
2,person,2,True,pose,0.7329155683517456,1,1,686,615,"[[391.8531494140625, 156.61599731445312, 0.9959783554077148], [442.6564025878906, 107.53184509277344, 0.9925230145454407], [318.7705078125, 87.64413452148438, 0.993771493434906], [483.09906005859375, 128.1773681640625, 0.028025425970554352], [152.5575714111328, 88.84258270263672, 0.9249271154403687], [418.03631591796875, 346.96734619140625, 0.822992205619812], [43.24799346923828, 307.488037109375, 0.8073098659515381], [487.2594299316406, 534.88525390625, 0.08182750642299652], [81.25047302246094, 496.4664001464844, 0.815333902835846], [577.747314453125, 426.5223083496094, 0.07714449614286423], [523.6824340820312, 447.81414794921875, 0.9644930362701416], [371.02325439453125, 715.9382934570312, 0.019984357059001923], [115.5182113647461, 738.3998413085938, 0.02914188988506794], [528.4874267578125, 545.7445068359375, 0.0018956547137349844], [310.7822570800781, 601.8873291015625, 0.005837596487253904], [476.023193359375, 599.126220703125, 0.0009706675191409886], [350.59228515625, 608.935302734375, 0.0015445256140083075]]",person 2
3,person,1,True,pose,0.9373333692550659,377,3,1366,551,"[[844.7360229492188, 170.7692413330078, 0.9973105192184448], [906.6036376953125, 96.15361022949219, 0.9995573163032532], [795.1004028320312, 109.74948120117188, 0.993601381778717], [1074.7294921875, 78.37740325927734, 0.9935746788978577], [764.8837280273438, 107.23048400878906, 0.06189800798892975], [1182.40478515625, 200.21554565429688, 0.9358198046684265], [794.5263061523438, 212.20858764648438, 0.9916664958000183], [1341.344482421875, 423.2525634765625, 0.7894410490989685], [540.6524047851562, 408.84100341796875, 0.6847394108772278], [961.9121704101562, 395.2216491699219, 0.9975258708000183], [520.3955078125, 379.9136047363281, 0.8365504145622253], [1183.535888671875, 633.6720581054688, 0.10747330635786057], [915.7589111328125, 625.5712280273438, 0.1643686443567276], [1104.926513671875, 558.6648559570312, 0.01099178846925497], [756.0136108398438, 559.50048828125, 0.006272205617278814], [1044.2568359375, 586.1140747070312, 0.004312621429562569], [824.9292602539062, 567.3060913085938, 0.004296628758311272]]",person 1
3,person,2,True,pose,0.7377787709236145,1,1,690,614,"[[390.8332824707031, 157.94720458984375, 0.9971803426742554], [440.62530517578125, 107.51997375488281, 0.9953775405883789], [318.3379211425781, 88.37628936767578, 0.9967003464698792], [479.8076477050781, 128.12753295898438, 0.027710838243365288], [152.93812561035156, 90.50081634521484, 0.9341309666633606], [411.8069152832031, 347.47833251953125, 0.8435533046722412], [43.215457916259766, 307.7354736328125, 0.8191877603530884], [486.483642578125, 528.6985473632812, 0.20786409080028534], [80.08460998535156, 485.5356750488281, 0.923416793346405], [589.24853515625, 423.4263610839844, 0.13638676702976227], [522.8834838867188, 441.11724853515625, 0.9763737916946411], [362.3146667480469, 726.7738647460938, 0.024124668911099434], [110.9695053100586, 749.5333862304688, 0.03722473606467247], [522.7341918945312, 563.5110473632812, 0.001969548175111413], [307.9239807128906, 617.7957153320312, 0.0058354525826871395], [482.01702880859375, 610.9172973632812, 0.0009512641117908061], [351.4754638671875, 624.1838989257812, 0.0014038366498425603]]",person 2
4,person,1,True,pose,0.9368004322052002,377,3,1366,551,"[[841.7373657226562, 168.89584350585938, 0.9974105954170227], [905.708740234375, 96.172119140625, 0.999508261680603], [792.6537475585938, 107.92459869384766, 0.9931207299232483], [1073.9959716796875, 77.40899658203125, 0.9935256242752075], [762.3585205078125, 101.91567993164062, 0.05651535093784332], [1182.6083984375, 200.74945068359375, 0.9399018287658691], [792.8041381835938, 211.50460815429688, 0.9914876222610474], [1341.1339111328125, 425.1227111816406, 0.8009777665138245], [537.5748901367188, 409.9754333496094, 0.6816190481185913], [960.4363403320312, 394.9700622558594, 0.9976300001144409], [523.4136962890625, 377.81427001953125, 0.8571109175682068], [1181.9012451171875, 634.7405395507812, 0.10628616064786911], [914.6961059570312, 625.4151611328125, 0.1611039638519287], [1102.495361328125, 560.61669921875, 0.010848283767700195], [755.9100341796875, 559.6741333007812, 0.006267615593969822], [1042.2227783203125, 587.5216064453125, 0.00421691732481122], [824.4392700195312, 567.8321533203125, 0.004237848799675703]]",person 1
4,person,2,True,pose,0.729906189441681,1,1,692,614,"[[390.5028381347656, 157.8260498046875, 0.9972477555274963], [440.4499816894531, 107.2306137084961, 0.9955560564994812], [318.21905517578125, 88.2768783569336, 0.9967400431632996], [479.9404296875, 127.11358642578125, 0.027470067143440247], [152.65708923339844, 89.82115173339844, 0.9318089485168457], [412.1056213378906, 345.81591796875, 0.8496240973472595], [43.23905563354492, 307.3383483886719, 0.8203751444816589], [487.77069091796875, 525.4929809570312, 0.22330167889595032], [81.70289611816406, 483.20367431640625, 0.9260863661766052], [594.233642578125, 423.9928894042969, 0.1392904669046402], [525.08056640625, 442.61273193359375, 0.9761697053909302], [359.9740295410156, 723.8167114257812, 0.024236757308244705], [109.49266052246094, 746.7932739257812, 0.03712745010852814], [519.956298828125, 562.5059814453125, 0.0019490700215101242], [305.3074645996094, 617.2711791992188, 0.005821538157761097], [478.5726318359375, 610.8184814453125, 0.0009539801394566894], [349.4888000488281, 623.2633666992188, 0.0014377115294337273]]",person 2
