frame_idx,track_id,face_detected,face_conf,face_x1,face_y1,face_x2,face_y2
0,1,True,0.6947073936462402,417,224,711,518
0,2,True,0.8668201565742493,667,88,939,359
1,1,True,0.7031390219926834,419,229,707,517
1,2,True,0.8664659708738327,667,88,938,360
2,1,True,0.708117663860321,420,230,705,515
2,2,True,0.8656733274459839,667,88,938,360
3,1,True,0.7273709058761597,422,233,701,512
3,2,True,0.8657148957252503,666,89,939,362
4,1,True,0.742193877696991,421,233,698,510
4,2,True,0.8667534828186035,666,90,939,363
5,1,True,0.7478760957717896,419,231,698,510
5,2,True,0.8691073536872864,665,91,938,364
6,1,True,0.757623040676117,419,227,699,508
6,2,True,0.8712946772575378,664,91,939,366
7,1,True,0.7596864581108094,419,226,700,507
7,2,True,0.8720805525779725,663,90,939,367
8,1,True,0.7562817811965943,421,228,700,507
8,2,True,0.8712210774421691,664,91,939,366
9,1,True,0.7621132135391235,427,233,701,506
9,2,True,0.8670907497406006,664,91,939,366
10,1,True,0.7652156591415405,432,236,701,505
10,2,True,0.8599070072174072,665,89,940,365
11,1,True,0.7607196211814881,434,238,702,505
11,2,True,0.855504822731018,667,90,940,364
12,1,True,0.7598008513450623,435,238,705,507
12,2,True,0.851529884338379,668,92,940,363
13,1,True,0.7501966238021851,436,236,709,509
13,2,True,0.8507196545600891,669,91,940,363
14,1,True,0.7279286026954651,436,234,711,510
14,2,True,0.8547564029693604,669,92,941,364
15,1,True,0.7225703001022339,438,236,713,511
15,2,True,0.862189781665802,671,93,942,365
16,1,True,0.7239153981208801,442,240,714,512
16,2,True,0.8666460871696472,671,93,944,366
17,1,True,0.7257337212562561,446,245,713,511
17,2,True,0.8739592909812928,673,94,945,366
18,1,True,0.7303945422172546,449,250,711,512
18,2,True,0.8785009026527405,674,94,947,366
19,1,True,0.7434622645378113,451,254,710,513
19,2,True,0.8805740714073181,677,95,948,366
20,1,True,0.7452058553695678,452,256,709,513
20,2,True,0.8808206081390381,679,95,948,365
21,1,True,0.7447428822517395,452,258,708,514
21,2,True,0.878066885471344,680,95,950,364
22,1,True,0.7534962058067322,454,261,707,513
22,2,True,0.8716630101203918,680,92,952,364
23,1,True,0.7653069019317627,458,265,704,511
23,2,True,0.8637584805488586,679,89,954,364
24,1,True,0.772041380405426,461,266,702,508
24,2,True,0.8598290324211121,679,88,955,364
25,1,True,0.7790927648544311,462,267,700,505
25,2,True,0.8548744559288025,678,87,956,365
26,1,True,0.77962406873703,461,263,699,502
26,2,True,0.849463939666748,676,85,957,366
27,1,True,0.7699521064758301,457,259,699,501
27,2,True,0.8476134061813354,674,82,959,367
28,1,True,0.7566537141799927,453,255,700,502
28,2,True,0.8498321890830993,672,80,958,366
29,1,True,0.7468106746673584,449,252,701,505
29,2,True,0.8498446941375732,671,77,959,365
30,1,True,0.7385700821876526,447,251,703,507
30,2,True,0.8514437556266785,670,74,959,363
31,1,True,0.741954231262207,447,255,703,511
31,2,True,0.8605840921401977,673,77,957,361
32,1,True,0.7533195853233338,447,258,703,514
32,2,True,0.8690420150756836,678,82,954,358
33,1,True,0.7650637149810791,448,261,702,515
33,2,True,0.8743142247200012,683,86,953,356
34,1,True,0.7722684264183044,447,262,703,518
34,2,True,0.8751563191413879,686,90,952,355
35,1,True,0.7720454335212708,445,262,703,520
35,2,True,0.8755803823471069,689,93,951,355
36,1,True,0.7598251104354858,443,260,704,521
36,2,True,0.8721956610679626,690,94,951,355
37,1,True,0.7428043842315674,441,258,705,522
37,2,True,0.8702694296836853,690,93,952,355
38,1,True,0.7220329165458679,439,256,706,523
38,2,True,0.8697361707687378,691,94,953,356
39,1,True,0.7013544321060181,437,253,706,522
39,2,True,0.8733832836151123,692,95,953,356
40,1,True,0.6873101949691772,436,251,706,522
40,2,True,0.8732585310935974,693,96,953,357
41,1,True,0.6794971108436585,433,248,707,522
41,2,True,0.8720844745635986,693,97,954,358
42,1,True,0.6713818073272705,431,244,708,521
42,2,True,0.8703729271888733,693,96,955,359
43,1,True,0.6703494668006897,431,241,710,520
43,2,True,0.8693094491958618,693,97,956,360
44,1,True,0.6664808988571167,429,238,712,521
44,2,True,0.8680952310562133,694,99,957,361
45,1,True,0.6732546567916871,428,236,713,521
45,2,True,0.8710285067558289,695,101,957,362
46,1,True,0.6788877010345459,429,235,714,520
46,2,True,0.8766255378723145,699,106,956,363
47,1,True,0.690521514415741,431,237,714,519
47,2,True,0.880702805519104,703,112,954,363
48,1,True,0.7065759539604187,433,239,713,519
48,2,True,0.8822650074958801,707,117,954,364
49,1,True,0.7312069654464721,438,243,712,518
49,2,True,0.8778990983963013,710,119,955,364
50,1,True,0.7455743670463562,442,249,711,518
50,2,True,0.8691941261291504,711,119,955,364
51,1,True,0.756827425956726,445,254,710,518
51,2,True,0.8558480620384217,710,118,956,363
52,1,True,0.762340497970581,447,257,709,520
52,2,True,0.8420633554458619,710,117,955,362
53,1,True,0.7645492076873779,449,261,709,521
53,2,True,0.8264105916023254,708,114,954,360
54,1,True,0.7618363499641418,449,263,707,521
54,2,True,0.816876745223999,706,112,954,359
55,1,True,0.7617240071296691,450,264,708,522
55,2,True,0.8087199926376343,705,109,954,359
56,1,True,0.7703550577163696,452,267,707,522
56,2,True,0.8008953332901001,703,106,955,359
57,1,True,0.7803182601928711,455,270,705,521
57,2,True,0.798879611492157,701,104,956,359
58,1,True,0.7945928573608398,459,277,703,521
58,2,True,0.8051591515541077,702,105,957,360
59,1,True,0.8069777369499207,463,281,702,520
59,2,True,0.8150676131248474,703,106,958,361
60,1,True,0.8138684749603271,466,283,701,518
60,2,True,0.8287382483482361,705,109,958,362
61,1,True,0.8123824954032898,468,284,700,517
61,2,True,0.8433678627014161,706,111,958,363
62,1,True,0.8213601469993591,470,286,699,515
62,2,True,0.852239727973938,705,110,959,364
63,1,True,0.8233727812767029,469,284,698,513
63,2,True,0.8549273848533631,704,109,960,365
64,1,True,0.8227702021598816,470,286,695,510
64,2,True,0.8546625375747681,704,108,961,366
65,1,True,0.8241066217422486,472,290,693,510
65,2,True,0.8538645148277283,704,108,963,367
66,1,True,0.8269995808601379,473,291,692,509
66,2,True,0.8568610548973083,705,110,963,369
67,1,True,0.8261915683746338,474,291,692,509
67,2,True,0.8592978119850159,706,112,963,369
68,1,True,0.8197118639945984,475,291,693,509
68,2,True,0.8614987850189209,708,114,963,369
69,1,True,0.8173436403274537,475,291,694,510
69,2,True,0.8583367466926575,709,113,964,368
70,1,True,0.8153515934944153,473,292,694,513
70,2,True,0.8454142928123474,706,108,965,367
71,1,True,0.8052576184272766,470,294,692,515
71,2,True,0.8268111705780029,703,103,966,365
72,1,True,0.7902567744255066,468,296,689,517
72,2,True,0.8175980448722839,702,100,966,364
73,1,True,0.7776245713233948,467,299,687,519
73,2,True,0.8174047112464905,703,99,967,363
74,1,True,0.7631150960922242,465,298,686,519
74,2,True,0.8251764059066773,705,102,966,364
75,1,True,0.7534278631210327,464,297,686,519
75,2,True,0.843619704246521,710,109,966,365
76,1,True,0.7554709434509277,467,298,687,518
76,2,True,0.8672472596168518,715,115,966,366
77,1,True,0.7585729002952576,468,295,689,516
77,2,True,0.881287407875061,718,119,967,368
78,1,True,0.7743605971336365,471,293,692,514
78,2,True,0.8881059169769288,720,122,968,369
79,1,True,0.7952062606811523,473,293,695,514
79,2,True,0.89181489944458,721,122,969,370
80,1,True,0.8132819414138794,476,291,698,513
80,2,True,0.8936527371406555,721,122,970,370
81,1,True,0.8298776388168335,478,289,701,512
81,2,True,0.892644202709198,722,122,970,370
82,1,True,0.8448439478874207,479,288,704,512
82,2,True,0.8921916723251343,723,122,970,370
83,1,True,0.8555483818054199,479,288,704,514
83,2,True,0.8918514490127564,724,122,970,369
84,1,True,0.8623800873756409,478,288,704,515
84,2,True,0.8878582358360291,724,122,970,368
85,1,True,0.8692394018173217,477,289,704,516
85,2,True,0.881820285320282,723,120,970,367
86,1,True,0.8715963721275329,476,290,704,518
86,2,True,0.8780298113822937,721,117,971,367
87,1,True,0.8702848434448243,474,289,705,520
87,2,True,0.8762326121330262,719,114,972,367
88,1,True,0.867806589603424,473,288,706,520
88,2,True,0.8730905294418335,717,109,974,366
89,1,True,0.86751788854599,473,285,708,521
89,2,True,0.8714818239212037,714,105,974,365
90,1,True,0.8672285318374634,473,283,711,521
90,2,True,0.871178388595581,713,104,975,365
91,1,True,0.8686212062835693,475,283,712,521
