frame_idx,cls,track_id,object_detected,source,conf,x1,y1,x2,y2,pose_keypoints,label
0,book,2,True,detect,0.8549493948618571,297,507,848,730,,book 2
0,book,4,True,detect,0.7407745718955994,242,295,421,527,,book 4
0,potted plant,5,True,detect,0.6924017667770386,323,365,422,543,,potted plant 5
1,book,2,True,detect,0.8574673533439636,297,505,849,730,,book 2
1,book,4,True,detect,0.741422563791275,242,295,420,527,,book 4
1,potted plant,5,True,detect,0.6837632805109024,323,365,422,543,,potted plant 5
2,book,2,True,detect,0.8602055907249451,297,505,849,731,,book 2
2,book,4,True,detect,0.7402711153030396,241,295,420,527,,book 4
2,potted plant,5,True,detect,0.6516634821891785,322,365,422,543,,potted plant 5
3,book,2,True,detect,0.8666241526603699,297,508,848,731,,book 2
3,book,4,True,detect,0.7341373324394226,241,295,420,528,,book 4
3,potted plant,5,True,detect,0.6218881025910378,322,365,422,544,,potted plant 5
4,book,2,True,detect,0.8640506029129028,297,511,848,732,,book 2
4,book,4,True,detect,0.7284501075744629,241,295,420,528,,book 4
4,potted plant,5,True,detect,0.5976257011294365,322,365,421,544,,potted plant 5
5,book,2,True,detect,0.825362628698349,297,513,848,732,,book 2
5,book,4,True,detect,0.7265501260757447,241,295,420,529,,book 4
5,potted plant,5,False,detect,0.5677456825971603,321,365,421,545,,potted plant 5
6,book,2,True,detect,0.7541408002376556,297,512,848,733,,book 2
6,book,4,True,detect,0.7240723371505737,240,295,420,529,,book 4
6,potted plant,5,False,detect,0.5525387674570084,321,365,421,545,,potted plant 5
7,book,2,False,detect,0.7109067976474762,297,509,855,734,,book 2
7,book,4,True,detect,0.7208336353302002,240,295,420,530,,book 4
7,potted plant,5,False,detect,0.5671760067343712,321,366,421,545,,potted plant 5
8,book,2,True,detect,0.668257349729538,297,504,866,735,,book 2
8,book,4,True,detect,0.7211872339248657,240,295,420,530,,book 4
8,potted plant,5,False,detect,0.581813246011734,320,366,420,546,,potted plant 5
9,book,2,True,detect,0.6216638505458831,297,499,873,735,,book 2
9,book,4,True,detect,0.7186769366264343,239,295,420,531,,book 4
9,potted plant,5,False,detect,0.5964504852890968,320,366,420,546,,potted plant 5
10,book,2,True,detect,0.6138637661933899,297,495,875,736,,book 2
10,book,4,True,detect,0.7032844543457031,239,295,420,531,,book 4
10,potted plant,5,False,detect,0.6110877245664597,319,366,420,547,,potted plant 5
11,book,2,True,detect,0.6587095737457276,297,496,877,737,,book 2
11,book,4,True,detect,0.6973734021186828,239,295,420,532,,book 4
11,potted plant,5,False,detect,0.6230564683675766,319,367,420,547,,potted plant 5
12,book,2,True,detect,0.6874446630477905,297,498,871,737,,book 2
12,book,4,True,detect,0.6922498345375061,238,295,420,532,,book 4
12,potted plant,5,True,detect,0.6323567166924476,319,367,420,547,,potted plant 5
13,book,2,True,detect,0.7209456443786622,297,500,861,738,,book 2
13,book,4,True,detect,0.6862741351127625,238,295,420,532,,book 4
13,potted plant,5,False,detect,0.6251629516482353,319,367,420,547,,potted plant 5
14,book,2,True,detect,0.7704961419105529,297,503,856,739,,book 2
14,book,4,False,detect,0.6828394651412963,238,295,420,533,,book 4
14,potted plant,5,True,detect,0.6014751732349396,319,367,420,547,,potted plant 5
15,book,2,True,detect,0.8158808827400208,297,508,853,740,,book 2
15,book,4,True,detect,0.6868538141250611,237,295,420,533,,book 4
15,potted plant,5,False,detect,0.5983084142208099,319,367,420,547,,potted plant 5
16,book,2,False,detect,0.8430165648460388,297,513,852,740,,book 2
16,book,4,False,detect,0.679507040977478,237,295,419,533,,book 4
16,potted plant,5,True,detect,0.6015074610710144,319,367,420,547,,potted plant 5
17,book,2,True,detect,0.8592394709587097,298,519,852,740,,book 2
17,book,4,True,detect,0.6745872616767883,237,295,419,534,,book 4
17,potted plant,5,True,detect,0.6010679244995117,319,367,419,547,,potted plant 5
18,book,2,True,detect,0.8576534271240235,298,523,858,741,,book 2
18,book,4,True,detect,0.6720944762229919,237,296,419,534,,book 4
18,potted plant,5,True,detect,0.6108153223991394,319,367,419,547,,potted plant 5
19,book,2,True,detect,0.8383244633674621,298,523,862,741,,book 2
19,book,4,False,detect,0.675340473651886,237,296,419,534,,book 4
19,potted plant,5,False,detect,0.6441922545433044,319,368,419,547,,potted plant 5
20,book,2,True,detect,0.8174404501914978,299,522,866,742,,book 2
20,book,4,True,detect,0.6843252539634704,237,296,419,534,,book 4
20,potted plant,5,True,detect,0.6594476222991943,319,368,419,547,,potted plant 5
21,book,2,True,detect,0.7844676375389099,300,520,873,743,,book 2
21,book,4,False,detect,0.6972582101821899,236,296,419,535,,book 4
21,potted plant,5,True,detect,0.6638885299364726,319,368,419,547,,potted plant 5
22,book,15,True,detect,0.7058979570865631,302,513,866,744,,book 15
22,book,2,True,detect,0.7340704500675201,300,518,881,744,,book 2
22,book,4,True,detect,0.7087605953216553,236,296,419,535,,book 4
22,potted plant,5,True,detect,0.6675193667411804,319,368,419,546,,potted plant 5
23,book,15,True,detect,0.7058979570865631,302,513,866,744,,book 15
23,book,2,True,detect,0.67821986079216,301,518,885,744,,book 2
23,book,4,True,detect,0.7178745627403259,236,296,420,535,,book 4
23,potted plant,5,False,detect,0.6703401327133178,320,368,419,545,,potted plant 5
24,book,2,False,detect,0.7127440750598908,302,521,893,745,,book 2
24,book,4,True,detect,0.720997428894043,236,296,420,536,,book 4
24,potted plant,5,False,detect,0.668601644039154,320,369,419,545,,potted plant 5
25,book,2,True,detect,0.7502931654453278,303,524,905,746,,book 2
25,book,4,True,detect,0.7198370178540547,236,296,420,536,,book 4
25,potted plant,5,True,detect,0.6610252976417541,321,369,419,545,,potted plant 5
26,book,2,True,detect,0.7940066516399383,303,527,912,747,,book 2
26,book,4,True,detect,0.7165305495262146,235,296,420,537,,book 4
26,potted plant,5,True,detect,0.6586436112721761,321,369,419,545,,potted plant 5
27,book,2,True,detect,0.8524771094322204,304,529,916,747,,book 2
27,book,4,False,detect,0.7138725638389587,235,296,420,537,,book 4
27,potted plant,5,True,detect,0.6596550464630127,322,369,420,544,,potted plant 5
28,book,2,True,detect,0.9218181490898132,304,529,916,748,,book 2
28,book,4,False,detect,0.7128209074338276,235,296,420,537,,book 4
28,potted plant,5,True,detect,0.6613423585891723,322,369,420,544,,potted plant 5
29,book,2,True,detect,0.8948255181312561,305,529,917,748,,book 2
29,book,4,False,detect,0.7134770750999451,235,296,420,538,,book 4
29,potted plant,5,True,detect,0.6585633993148804,322,370,420,544,,potted plant 5
30,book,2,True,detect,0.8863421320915222,305,529,914,748,,book 2
30,book,4,False,detect,0.7141332427660625,234,296,420,538,,book 4
30,potted plant,5,True,detect,0.6541347026824951,322,370,420,544,,potted plant 5
31,book,2,True,detect,0.8835830092430115,306,528,912,749,,book 2
31,book,4,False,detect,0.7146040558815002,234,296,420,539,,book 4
31,potted plant,5,True,detect,0.6476018071174622,322,370,420,544,,potted plant 5
32,book,2,True,detect,0.873589015007019,306,528,912,749,,book 2
32,book,4,True,detect,0.7020270188649496,234,296,420,539,,book 4
32,potted plant,5,True,detect,0.6383187294006347,322,370,420,545,,potted plant 5
33,book,2,True,detect,0.8796680808067322,306,528,911,749,,book 2
33,book,4,True,detect,0.6764021317164104,233,296,420,539,,book 4
33,potted plant,5,True,detect,0.6245490193367005,323,370,420,545,,potted plant 5
34,book,2,True,detect,0.9096342086791992,306,528,906,750,,book 2
34,book,4,False,detect,0.6377293944358826,233,296,420,540,,book 4
34,potted plant,5,True,detect,0.611561405658722,323,371,420,545,,potted plant 5
35,book,2,True,detect,0.917526113986969,306,529,901,750,,book 2
35,book,4,False,detect,0.6443011403083801,233,297,420,540,,book 4
35,potted plant,5,True,detect,0.6212331771850585,323,371,420,546,,potted plant 5
36,book,2,True,detect,0.921506690979004,305,529,898,751,,book 2
36,book,4,True,detect,0.6545847654342651,233,297,421,541,,book 4
36,potted plant,5,True,detect,0.6362524390220642,323,371,420,546,,potted plant 5
37,book,2,True,detect,0.9339040994644165,305,529,894,751,,book 2
37,book,4,True,detect,0.6763850371042888,232,297,421,541,,book 4
37,potted plant,5,True,detect,0.6514057636260986,323,372,420,547,,potted plant 5
38,book,2,True,detect,0.9345456242561341,305,530,893,752,,book 2
38,book,4,True,detect,0.7115597248077392,232,297,421,541,,book 4
38,potted plant,5,True,detect,0.6756361365318299,323,372,420,547,,potted plant 5
39,book,2,True,detect,0.9120810866355896,305,530,893,753,,book 2
39,book,4,True,detect,0.7644225001335144,232,297,420,542,,book 4
39,potted plant,5,True,detect,0.7003167510032654,322,373,420,547,,potted plant 5
40,book,2,True,detect,0.8923326969146729,305,530,893,754,,book 2
40,book,4,True,detect,0.7666856050491333,232,297,420,542,,book 4
40,potted plant,5,True,detect,0.7044116020202636,322,373,420,547,,potted plant 5
41,book,2,True,detect,0.87827068567276,305,530,894,754,,book 2
41,book,4,True,detect,0.7641834378242492,232,297,421,542,,book 4
41,potted plant,5,True,detect,0.7047377467155457,321,373,421,547,,potted plant 5
42,book,2,True,detect,0.8657523393630981,305,529,895,755,,book 2
42,book,4,True,detect,0.7635951519012452,231,297,421,543,,book 4
42,potted plant,5,True,detect,0.7046837925910949,321,373,421,546,,potted plant 5
43,book,2,True,detect,0.846112072467804,305,528,896,756,,book 2
43,book,4,True,detect,0.761052668094635,231,297,421,543,,book 4
43,potted plant,5,True,detect,0.703553581237793,321,374,421,546,,potted plant 5
44,book,2,True,detect,0.8358041286468506,305,527,897,756,,book 2
44,book,4,True,detect,0.7531155943870544,231,298,421,544,,book 4
44,potted plant,5,True,detect,0.6961600542068481,321,374,422,545,,potted plant 5
45,book,2,True,detect,0.8293261170387268,305,525,897,757,,book 2
45,book,4,True,detect,0.7495328903198242,231,298,422,544,,book 4
45,potted plant,5,True,detect,0.6788387417793273,321,374,422,543,,potted plant 5
46,book,2,True,detect,0.8054653525352478,306,523,898,757,,book 2
46,book,4,True,detect,0.736271607875824,231,298,422,545,,book 4
46,potted plant,5,True,detect,0.6510230302810669,321,374,422,542,,potted plant 5
47,book,2,True,detect,0.7907885432243347,306,522,898,758,,book 2
47,book,4,True,detect,0.7074833750724793,230,298,423,545,,book 4
47,potted plant,5,False,detect,0.6304051518440247,321,374,422,542,,potted plant 5
48,book,2,True,detect,0.7783928751945496,306,521,898,759,,book 2
48,book,4,True,detect,0.6651785016059876,230,298,423,546,,book 4
48,potted plant,5,True,detect,0.612277352809906,321,374,423,541,,potted plant 5
49,book,2,True,detect,0.7896820187568665,306,520,899,759,,book 2
49,book,4,False,detect,0.660447359085083,230,298,423,546,,book 4
49,potted plant,5,True,detect,0.5845345616340637,320,374,423,540,,potted plant 5
50,book,2,True,detect,0.7974745988845825,306,519,900,760,,book 2
50,book,4,True,detect,0.65411536693573,230,298,423,546,,book 4
50,potted plant,5,True,detect,0.5821838021278382,320,374,423,538,,potted plant 5
51,book,2,True,detect,0.8244213342666626,307,518,900,760,,book 2
51,book,4,True,detect,0.6623012661933899,230,298,424,547,,book 4
51,potted plant,5,True,detect,0.5949329137802124,319,374,424,537,,potted plant 5
52,book,2,True,detect,0.8384599208831787,307,517,901,760,,book 2
52,book,4,True,detect,0.6833078622817993,229,298,424,547,,book 4
52,potted plant,5,True,detect,0.6093934178352356,319,374,424,536,,potted plant 5
53,book,2,True,detect,0.8568630933761596,307,516,903,761,,book 2
53,book,4,True,detect,0.7171351552009583,229,298,424,547,,book 4
53,potted plant,5,True,detect,0.6245980858802795,318,374,424,535,,potted plant 5
54,book,2,True,detect,0.8635311007499695,307,514,904,761,,book 2
54,book,4,False,detect,0.7176780700683594,229,298,425,548,,book 4
54,potted plant,5,True,detect,0.6524312615394592,318,375,424,535,,potted plant 5
55,book,2,True,detect,0.8722351312637329,307,511,905,761,,book 2
55,book,4,True,detect,0.710836461186409,229,298,425,548,,book 4
55,potted plant,5,True,detect,0.6623960256576538,317,375,424,535,,potted plant 5
56,book,2,True,detect,0.8454086124897003,308,507,907,761,,book 2
56,book,4,True,detect,0.6904080957174301,229,298,425,549,,book 4
56,potted plant,5,True,detect,0.6689280986785888,317,375,425,536,,potted plant 5
57,book,2,True,detect,0.7897185981273651,308,502,908,762,,book 2
57,book,4,False,detect,0.6623171150684357,228,298,425,549,,book 4
57,potted plant,5,True,detect,0.674483847618103,316,375,425,538,,potted plant 5
58,book,2,False,detect,0.7948754251003265,308,496,908,762,,book 2
58,book,4,False,detect,0.6265635192394257,228,298,425,549,,book 4
58,potted plant,5,True,detect,0.6806493282318116,316,376,425,539,,potted plant 5
59,book,2,True,detect,0.7774374902248382,308,489,909,762,,book 2
59,book,4,False,detect,0.5825398862361908,228,298,425,549,,book 4
59,potted plant,5,True,detect,0.6786601662635803,315,376,425,541,,potted plant 5
60,book,2,True,detect,0.726441353559494,308,482,909,761,,book 2
60,book,4,True,detect,0.5491744110981623,228,298,424,550,,book 4
60,potted plant,5,True,detect,0.6923387527465821,315,376,425,542,,potted plant 5
61,book,2,True,detect,0.736921513080597,308,474,910,761,,book 2
61,book,4,True,detect,0.5264670938253403,228,298,424,550,,book 4
61,potted plant,5,True,detect,0.708431351184845,315,376,425,544,,potted plant 5
62,book,2,True,detect,0.7838621377944947,308,468,911,761,,book 2
62,book,4,False,detect,0.5144179344177247,227,298,424,550,,book 4
62,potted plant,5,True,detect,0.7231145024299621,315,377,425,546,,potted plant 5
63,book,2,True,detect,0.7737679481506348,308,464,918,761,,book 2
63,book,4,False,detect,0.5345594406127929,227,298,425,551,,book 4
63,potted plant,5,True,detect,0.7369553685188294,315,377,425,548,,potted plant 5
64,book,2,True,detect,0.7951667666435241,308,461,920,761,,book 2
64,book,4,True,detect,0.5816404581069946,227,298,425,551,,book 4
64,potted plant,5,True,detect,0.757132065296173,315,378,425,550,,potted plant 5
65,book,2,True,detect,0.8444266676902771,308,462,921,761,,book 2
65,book,4,False,detect,0.6432451446851094,227,298,425,551,,book 4
65,potted plant,5,True,detect,0.7617359042167664,315,378,426,551,,potted plant 5
66,book,2,True,detect,0.8669715166091919,309,467,921,761,,book 2
66,book,4,True,detect,0.7045901417732239,226,298,425,552,,book 4
66,potted plant,5,True,detect,0.7642049312591552,315,378,426,552,,potted plant 5
67,book,2,True,detect,0.8795735478401184,309,474,922,761,,book 2
67,book,4,True,detect,0.7639930129051209,226,298,426,552,,book 4
67,potted plant,5,True,detect,0.7611751914024353,315,379,426,553,,potted plant 5
68,book,2,True,detect,0.8785765647888184,310,485,918,761,,book 2
68,book,4,True,detect,0.8014613032341004,226,298,426,552,,book 4
68,potted plant,5,True,detect,0.7555920958518982,315,379,426,554,,potted plant 5
69,book,2,True,detect,0.880666971206665,311,498,925,761,,book 2
69,book,4,True,detect,0.8172179341316224,226,298,427,553,,book 4
69,potted plant,5,True,detect,0.7520531296730042,315,379,425,554,,potted plant 5
70,book,2,True,detect,0.8834030151367187,311,511,927,761,,book 2
70,book,4,True,detect,0.8166399121284484,226,298,427,553,,book 4
70,potted plant,5,True,detect,0.7513395190238953,315,379,425,555,,potted plant 5
71,book,2,True,detect,0.8860801815986633,312,522,928,761,,book 2
71,book,4,True,detect,0.8162729382514954,226,298,427,554,,book 4
71,potted plant,5,True,detect,0.7482410788536071,315,379,425,554,,potted plant 5
72,book,2,True,detect,0.8977972745895386,312,531,925,761,,book 2
72,book,4,True,detect,0.8165603518486023,226,298,428,554,,book 4
72,potted plant,5,True,detect,0.7480019450187683,315,379,425,554,,potted plant 5
73,book,2,True,detect,0.914544403553009,313,535,928,761,,book 2
73,book,4,True,detect,0.8168429732322693,225,298,428,554,,book 4
73,potted plant,5,True,detect,0.7457763433456421,315,379,425,554,,potted plant 5
74,book,2,True,detect,0.909724497795105,313,537,925,762,,book 2
74,book,4,True,detect,0.8177233457565307,225,298,428,555,,book 4
74,potted plant,5,True,detect,0.7430898427963257,315,380,425,553,,potted plant 5
75,book,2,True,detect,0.9130778789520264,314,537,935,762,,book 2
75,book,4,True,detect,0.8186857461929321,225,298,428,555,,book 4
75,potted plant,5,True,detect,0.74072824716568,315,380,425,552,,potted plant 5
76,book,2,True,detect,0.9072531580924987,315,537,950,762,,book 2
76,book,4,True,detect,0.8202309846878052,225,299,429,555,,book 4
76,potted plant,5,True,detect,0.7367279291152954,316,380,425,552,,potted plant 5
77,book,2,True,detect,0.9022581338882446,315,536,957,762,,book 2
77,book,4,True,detect,0.8224735260009766,224,299,429,556,,book 4
77,potted plant,5,True,detect,0.7360522747039795,316,380,425,551,,potted plant 5
78,book,2,True,detect,0.9020798683166504,316,536,955,762,,book 2
78,book,4,True,detect,0.8252704739570618,224,299,429,556,,book 4
78,potted plant,5,True,detect,0.7357194423675537,316,380,426,551,,potted plant 5
79,book,2,True,detect,0.9055016517639161,316,535,950,763,,book 2
79,book,4,True,detect,0.828445315361023,224,299,429,557,,book 4
79,potted plant,5,True,detect,0.7353984355926514,316,380,426,551,,potted plant 5
80,book,2,True,detect,0.8912709593772888,316,535,938,763,,book 2
80,book,4,True,detect,0.8335657238960266,224,299,429,557,,book 4
80,potted plant,5,True,detect,0.73663409948349,316,380,426,551,,potted plant 5
81,book,2,True,detect,0.876835823059082,316,535,922,763,,book 2
81,book,4,True,detect,0.8385335326194763,224,299,429,558,,book 4
81,potted plant,5,True,detect,0.737189245223999,316,380,427,551,,potted plant 5
82,book,2,True,detect,0.8664092183113098,316,536,916,763,,book 2
82,book,4,True,detect,0.8425249695777893,224,299,429,558,,book 4
82,potted plant,5,True,detect,0.7309329628944397,316,380,427,552,,potted plant 5
83,book,2,True,detect,0.8629170536994935,317,536,913,764,,book 2
83,book,4,True,detect,0.8437422990798951,224,299,430,558,,book 4
83,potted plant,5,True,detect,0.7280455112457276,316,380,427,552,,potted plant 5
84,book,2,True,detect,0.8579854607582093,317,536,919,764,,book 2
84,book,4,True,detect,0.8442001342773438,223,299,430,558,,book 4
84,potted plant,5,True,detect,0.727049732208252,316,381,427,552,,potted plant 5
85,book,2,True,detect,0.842707884311676,318,535,934,764,,book 2
85,book,4,True,detect,0.8435662746429443,223,299,430,559,,book 4
85,potted plant,5,True,detect,0.7240965008735657,316,381,428,552,,potted plant 5
86,book,2,True,detect,0.8250960826873779,318,534,952,764,,book 2
86,book,4,True,detect,0.8401517391204834,223,299,429,559,,book 4
86,potted plant,5,True,detect,0.7228906273841857,316,381,428,551,,potted plant 5
87,book,2,True,detect,0.7972544252872467,319,533,970,765,,book 2
87,book,4,True,detect,0.838125205039978,223,299,429,560,,book 4
87,potted plant,5,True,detect,0.7263834834098816,315,381,428,550,,potted plant 5
88,book,2,True,detect,0.7627678096294404,320,532,990,765,,book 2
88,book,4,True,detect,0.8385756134986877,223,299,429,560,,book 4
88,potted plant,5,True,detect,0.7215436220169067,315,381,429,549,,potted plant 5
89,book,2,False,detect,0.7326512634754181,321,532,1002,765,,book 2
89,book,4,True,detect,0.839639151096344,222,299,429,560,,book 4
89,potted plant,5,True,detect,0.7331091523170471,315,381,429,548,,potted plant 5
90,book,2,True,detect,0.7408436119556427,321,531,995,765,,book 2
90,book,4,True,detect,0.8410601139068603,222,300,429,561,,book 4
90,potted plant,5,True,detect,0.7451633810997009,315,381,429,547,,potted plant 5
91,book,2,True,detect,0.7678429901599884,321,531,980,765,,book 2
91,book,4,True,detect,0.844283378124237,222,300,429,561,,book 4
91,potted plant,5,True,detect,0.757081949710846,315,381,429,546,,potted plant 5
92,book,2,True,detect,0.7874817371368408,321,530,963,764,,book 2
92,book,4,True,detect,0.8480787992477417,222,300,429,562,,book 4
92,potted plant,5,True,detect,0.7375846147537232,315,381,430,545,,potted plant 5
93,book,2,True,detect,0.8015594244003296,321,529,944,764,,book 2
93,book,4,True,detect,0.8513679146766663,221,300,429,562,,book 4
93,potted plant,5,True,detect,0.735848581790924,315,381,430,544,,potted plant 5
94,book,2,True,detect,0.8172211527824402,320,528,926,764,,book 2
94,book,4,True,detect,0.8512523651123047,221,300,429,563,,book 4
94,potted plant,5,True,detect,0.7258757948875427,315,381,431,544,,potted plant 5
95,book,2,True,detect,0.8219268798828125,319,528,918,764,,book 2
95,book,4,True,detect,0.8506096363067627,221,300,429,563,,book 4
95,potted plant,5,True,detect,0.6761425852775573,315,381,431,543,,potted plant 5
96,book,2,True,detect,0.805623722076416,319,528,915,764,,book 2
96,book,4,True,detect,0.8501440644264221,220,300,429,564,,book 4
96,potted plant,5,True,detect,0.6716886997222901,316,381,432,543,,potted plant 5
97,book,2,True,detect,0.7914652347564697,318,528,914,764,,book 2
97,book,4,True,detect,0.8478904008865357,220,300,429,564,,book 4
97,potted plant,5,True,detect,0.6986403346061707,316,381,432,543,,potted plant 5
98,book,2,True,detect,0.7659764647483825,318,527,912,764,,book 2
98,book,4,True,detect,0.8484320282936096,220,300,430,565,,book 4
98,potted plant,5,True,detect,0.7117643117904663,316,381,432,543,,potted plant 5
99,book,2,True,detect,0.7298019289970398,318,525,912,764,,book 2
99,book,4,True,detect,0.8497703313827515,219,301,430,565,,book 4
99,potted plant,5,True,detect,0.702401602268219,316,382,433,543,,potted plant 5
100,book,2,True,detect,0.7074540376663208,319,524,925,764,,book 2
100,book,4,True,detect,0.850436520576477,219,301,430,565,,book 4
100,potted plant,5,True,detect,0.7306816458702088,315,382,433,541,,potted plant 5
101,book,2,True,detect,0.6901815533638,320,521,943,764,,book 2
101,book,4,True,detect,0.850245201587677,219,301,430,565,,book 4
101,potted plant,5,True,detect,0.7299257755279541,314,382,434,540,,potted plant 5
102,book,2,True,detect,0.6554470419883728,320,519,964,765,,book 2
102,book,4,True,detect,0.8497825026512146,219,301,430,566,,book 4
102,potted plant,5,True,detect,0.7277013897895813,314,382,434,538,,potted plant 5
103,book,2,True,detect,0.6274997353553772,320,518,985,765,,book 2
103,book,4,True,detect,0.845736050605774,218,301,431,566,,book 4
103,potted plant,5,True,detect,0.7262367606163025,313,382,434,537,,potted plant 5
104,book,2,True,detect,0.6285512685775757,320,518,1006,765,,book 2
104,book,4,True,detect,0.8447997689247131,218,301,431,567,,book 4
104,potted plant,5,True,detect,0.7371182560920715,313,382,435,537,,potted plant 5
105,book,2,True,detect,0.6081987738609314,319,518,1014,765,,book 2
105,book,4,True,detect,0.8434349536895752,218,301,432,567,,book 4
