frame_idx,track_id,face_detected,face_conf,face_x1,face_y1,face_x2,face_y2
0,1,True,0.996176689863205,904,204,957,289
0,2,True,0.9689667224884033,434,231,477,302
1,1,False,0.9961567372083664,904,204,957,289
1,2,False,0.9706140011548996,434,231,477,302
2,1,True,0.9961406469345093,903,204,957,289
2,2,True,0.9725399136543273,434,231,476,302
3,1,False,0.9960908591747284,903,204,957,289
3,2,False,0.9753556966781616,433,231,476,301
4,1,True,0.9960350513458252,903,204,957,289
4,2,True,0.9779713392257691,433,231,475,301
5,1,False,0.9959611773490906,903,204,957,288
5,2,False,0.980424576997757,432,231,474,301
6,1,True,0.9958615124225616,904,204,958,288
6,2,True,0.9821581423282624,432,230,473,300
7,1,False,0.995773333311081,904,204,958,288
7,2,False,0.982973599433899,431,230,473,299
8,1,True,0.9957103848457336,904,204,958,288
8,2,True,0.9836283564567566,430,229,472,299
9,1,False,0.9956555128097534,905,204,959,288
9,2,False,0.9840109348297119,430,229,472,299
10,1,True,0.9956207633018493,905,203,959,288
10,2,True,0.9840835988521576,429,228,472,298
11,1,False,0.9956562995910645,905,203,959,288
11,2,False,0.984101265668869,429,228,472,298
12,1,True,0.9957248449325562,905,203,959,288
12,2,True,0.9842623710632324,429,228,472,299
13,1,False,0.9957672953605652,905,203,959,288
13,2,False,0.9845458686351776,430,229,472,299
14,1,True,0.9958008050918579,905,203,959,288
14,2,True,0.985063236951828,430,229,472,299
15,1,False,0.9958595335483551,905,203,959,288
15,2,False,0.985599684715271,430,229,472,300
16,1,True,0.9958933174610138,905,203,959,288
16,2,True,0.9859002947807312,430,230,472,300
17,1,False,0.9958968698978424,904,202,959,288
17,2,False,0.9860871791839599,430,230,472,300
18,1,True,0.9959292948246002,904,202,959,289
18,2,True,0.9861813843250274,430,230,473,301
19,1,False,0.9960179448127746,904,202,959,289
19,2,False,0.9860744059085846,430,230,473,301
20,1,True,0.9961286604404449,904,202,959,289
20,2,True,0.985981035232544,430,230,473,301
21,1,False,0.9961485922336578,904,202,960,289
21,2,False,0.9859202206134796,430,230,473,301
22,1,True,0.9960830271244049,905,202,960,289
22,2,True,0.9857698500156402,430,230,473,301
23,1,False,0.9959722816944122,905,202,960,288
23,2,False,0.9857186198234558,430,230,472,301
24,1,True,0.9957890033721923,905,202,959,288
24,2,True,0.9858750343322754,430,230,472,301
25,1,False,0.9955580472946167,905,202,959,288
25,2,False,0.9862917900085449,430,230,472,300
26,1,True,0.9953922629356384,905,202,959,288
26,2,True,0.9869499385356904,430,230,472,300
27,1,False,0.9953857064247131,905,202,959,288
27,2,False,0.9875409841537476,430,230,472,300
28,1,True,0.9954980611801147,905,201,959,288
28,2,True,0.9878762304782868,430,230,472,300
29,1,False,0.9956992030143738,905,201,959,288
29,2,False,0.9880990326404572,430,230,472,300
30,1,True,0.9959642767906189,905,201,960,288
30,2,True,0.9881566941738129,430,230,472,300
31,1,False,0.9962912976741791,906,200,960,288
31,2,False,0.9880127727985382,430,230,472,300
32,1,True,0.9965862095355987,906,200,960,288
32,2,True,0.9879757642745972,429,230,472,301
33,1,False,0.9967453002929687,906,200,961,288
33,2,False,0.9881600677967072,429,230,472,301
34,1,True,0.9967986941337585,906,200,961,288
34,2,True,0.9884223282337189,429,230,472,301
35,1,False,0.9967864274978637,906,200,961,288
35,2,False,0.9885541021823883,429,230,472,300
36,1,True,0.9967104852199554,906,200,961,288
36,2,True,0.9885918319225311,429,230,472,300
37,1,False,0.9966088473796845,906,200,961,288
37,2,False,0.9885985672473907,428,230,472,300
38,1,True,0.9965852260589599,906,200,961,288
38,2,True,0.9884599089622498,428,230,472,300
39,1,False,0.9965770602226257,906,199,961,288
39,2,False,0.9881448149681091,428,230,472,300
40,1,True,0.9965443134307861,906,199,961,288
40,2,True,0.9878617286682129,428,230,471,301
41,1,False,0.9965105652809143,906,199,961,288
41,2,False,0.9876982510089874,428,230,471,301
42,1,True,0.9964378356933594,907,198,961,288
42,2,True,0.9875913321971893,428,230,471,301
43,1,False,0.9963354527950287,907,198,961,288
43,2,False,0.9873992621898651,428,230,471,301
44,1,True,0.9962659776210785,907,198,961,288
44,2,True,0.9871530830860138,428,230,471,301
45,1,False,0.996233195066452,907,198,961,288
45,2,False,0.9869505047798157,428,230,471,302
46,1,True,0.9962135255336761,907,198,961,288
46,2,True,0.9867039263248444,428,230,471,302
47,1,False,0.996217155456543,907,198,961,288
47,2,False,0.9864662945270538,428,230,471,302
48,1,True,0.9962347567081451,907,198,961,288
48,2,True,0.9863793194293976,428,230,471,302
49,1,False,0.9962767064571381,907,198,961,288
49,2,False,0.9865408957004547,428,230,471,302
50,1,True,0.9963392198085785,907,198,961,288
50,2,True,0.9868533134460449,428,230,471,302
51,1,False,0.9963976621627808,907,198,961,288
51,2,False,0.9871752083301544,428,230,470,301
52,1,True,0.9964418470859527,907,198,961,288
52,2,True,0.9874536335468292,428,230,470,301
53,1,False,0.9964802145957947,907,198,962,288
53,2,False,0.9876372694969178,428,230,470,301
54,1,True,0.9965023875236512,907,198,962,288
54,2,True,0.9876282215118408,428,230,470,300
55,1,False,0.9965084314346313,907,198,962,288
55,2,False,0.9873860716819763,428,229,471,300
56,1,True,0.9965229809284211,907,198,962,288
56,2,True,0.987052184343338,429,229,471,300
57,1,False,0.996548730134964,908,198,962,288
57,2,False,0.9860165476799011,429,229,471,300
58,1,True,0.99657723903656,908,198,962,288
58,2,True,0.9843304812908172,429,228,472,300
59,1,False,0.9966081857681275,908,198,962,288
59,2,False,0.9827601075172424,430,228,473,300
60,1,True,0.9966415047645569,909,198,963,288
60,2,True,0.9813458442687988,430,228,473,300
61,1,False,0.9966720461845398,909,198,963,288
61,2,False,0.9804639339447021,430,228,473,300
62,1,True,0.9966971158981324,909,198,963,288
62,2,True,0.9807243883609772,430,228,473,300
63,1,False,0.9966592907905578,909,198,963,288
63,2,False,0.9820599257946014,430,228,473,299
64,1,True,0.9965588927268982,909,198,963,288
64,2,True,0.9837044239044189,430,228,472,299
65,1,False,0.9963601589202881,909,198,963,289
65,2,False,0.9855142176151276,429,228,472,299
66,1,True,0.9960682392120361,909,198,962,289
66,2,True,0.9871130645275116,429,228,471,298
67,1,False,0.9958417177200317,908,198,962,289
67,2,False,0.9875609159469605,428,228,470,298
68,1,True,0.9957380175590516,908,199,962,290
68,2,True,0.9869250535964966,428,228,470,298
69,1,False,0.9958479166030884,908,199,961,290
69,2,False,0.9854525864124298,427,228,469,298
70,1,True,0.9962071776390076,908,199,962,291
70,2,True,0.9832871794700623,426,228,468,298
71,1,False,0.9967027068138122,908,198,962,291
71,2,False,0.980891329050064,424,227,468,298
72,1,True,0.9971759200096131,909,198,963,291
72,2,True,0.9792050838470459,423,227,467,298
73,1,False,0.9975838422775268,909,198,964,291
73,2,False,0.9786554336547851,422,227,467,298
74,1,True,0.9978356957435608,909,198,964,291
74,2,True,0.978995269536972,422,226,466,298
75,1,False,0.9979442775249481,909,197,965,291
75,2,False,0.979837703704834,421,226,465,298
76,1,True,0.9980226814746856,909,197,965,291
76,2,True,0.9807202398777009,421,226,465,298
