frame_idx,cls,track_id,object_detected,source,conf,x1,y1,x2,y2,pose_keypoints,label
0,couch,3,True,detect,0.8841530978679657,20,297,460,680,,couch 3
0,chair,4,True,detect,0.8836996555328369,614,357,686,460,,chair 4
0,couch,5,True,detect,0.8705871403217316,943,308,1365,695,,couch 5
0,chair,6,True,detect,0.5509715974330902,694,355,795,461,,chair 6
0,potted plant,7,True,detect,0.552491307258606,164,238,237,309,,potted plant 7
1,couch,3,False,detect,0.8838995471596718,20,297,460,680,,couch 3
1,chair,4,False,detect,0.8835354745388031,614,357,686,460,,chair 4
1,couch,5,False,detect,0.8719104006886482,943,308,1365,695,,couch 5
1,chair,6,False,detect,0.5469661727547646,694,355,795,461,,chair 6
1,potted plant,7,False,detect,0.5545530393719673,164,238,237,309,,potted plant 7
2,couch,3,True,detect,0.8841130673885346,20,296,460,680,,couch 3
2,chair,4,True,detect,0.8831240892410278,614,357,686,460,,chair 4
2,couch,5,True,detect,0.8727939426898956,943,308,1365,695,,couch 5
2,chair,6,True,detect,0.5448952376842499,694,355,795,461,,chair 6
2,potted plant,7,True,detect,0.5559911072254181,164,238,237,309,,potted plant 7
3,couch,3,False,detect,0.8844825029373169,20,296,461,681,,couch 3
3,chair,4,False,detect,0.8835290610790253,614,357,686,460,,chair 4
3,couch,5,False,detect,0.8751444578170776,943,308,1365,695,,couch 5
3,chair,6,False,detect,0.5413734436035156,694,355,795,461,,chair 6
3,potted plant,7,False,detect,0.5623794138431549,164,238,237,309,,potted plant 7
4,couch,3,True,detect,0.8861955463886261,20,296,461,681,,couch 3
4,chair,4,True,detect,0.8844201624393463,614,357,686,460,,chair 4
4,couch,5,True,detect,0.8767592489719391,943,308,1365,695,,couch 5
4,chair,6,True,detect,0.5442751944065094,694,355,795,461,,chair 6
4,potted plant,7,True,detect,0.5704088985919953,163,238,237,309,,potted plant 7
5,couch,3,False,detect,0.8883552074432373,20,296,461,682,,couch 3
5,chair,4,False,detect,0.8854009449481964,614,357,686,460,,chair 4
5,couch,5,False,detect,0.8779722392559052,943,308,1365,695,,couch 5
