frame_idx,cls,track_id,object_detected,source,conf,x1,y1,x2,y2,pose_keypoints,label
0,person,1,True,pose,0.9293537437915802,819,189,1108,665,"[[912.4083862304688, 255.3256072998047, 0.9811026453971863], [922.9805908203125, 239.46878051757812, 0.9920926690101624], [912.0502319335938, 241.8975372314453, 0.23425647616386414], [966.984619140625, 238.28126525878906, 0.992733359336853], [937.3316650390625, 241.62277221679688, 0.0032576213125139475], [1004.3695678710938, 289.9610290527344, 0.9942591190338135], [976.8484497070312, 291.2938232421875, 0.9571914672851562], [965.3106689453125, 404.3857727050781, 0.9792141914367676], [945.578857421875, 394.4480285644531, 0.6710823178291321], [872.1299438476562, 399.0307312011719, 0.9835250377655029], [874.8927612304688, 397.2565002441406, 0.8640428185462952], [1048.6256103515625, 465.7629089355469, 0.9446496367454529], [1022.1897583007812, 456.91033935546875, 0.9012513756752014], [906.2282104492188, 442.18048095703125, 0.9744588732719421], [881.3173828125, 427.12939453125, 0.9451767206192017], [917.5746459960938, 617.3142700195312, 0.9404545426368713], [893.6962890625, 597.6903686523438, 0.9468603730201721]]",person 1
0,person,2,True,pose,0.9203490614891052,310,218,584,649,"[[471.3196716308594, 270.25732421875, 0.9844332933425903], [470.2412109375, 258.892333984375, 0.3841749131679535], [459.8857421875, 260.5343017578125, 0.984546422958374], [453.5667419433594, 263.654296875, 0.0065901209600269794], [428.6106262207031, 267.53619384765625, 0.9636480212211609], [430.2649230957031, 320.3733215332031, 0.9738274216651917], [395.3443908691406, 322.8214111328125, 0.9878811836242676], [462.6484680175781, 403.4368591308594, 0.9467604160308838], [439.3567810058594, 415.356689453125, 0.9863005876541138], [536.109375, 408.19232177734375, 0.9418675899505615], [534.7175903320312, 412.2923889160156, 0.987130343914032], [385.7064514160156, 464.16888427734375, 0.9405344724655151], [359.1451416015625, 474.82647705078125, 0.9625769853591919], [511.2291259765625, 436.3053894042969, 0.9582023024559021], [491.1682434082031, 453.459716796875, 0.9821489453315735], [512.9058227539062, 582.2731323242188, 0.9314912557601929], [480.955810546875, 597.8336181640625, 0.9566475749015808]]",person 2
1,person,1,False,pose,0.9295348227024078,819,189,1108,665,"[[912.4083862304688, 255.3256072998047, 0.9811026453971863], [922.9805908203125, 239.46878051757812, 0.9920926690101624], [912.0502319335938, 241.8975372314453, 0.23425647616386414], [966.984619140625, 238.28126525878906, 0.992733359336853], [937.3316650390625, 241.62277221679688, 0.0032576213125139475], [1004.3695678710938, 289.9610290527344, 0.9942591190338135], [976.8484497070312, 291.2938232421875, 0.9571914672851562], [965.3106689453125, 404.3857727050781, 0.9792141914367676], [945.578857421875, 394.4480285644531, 0.6710823178291321], [872.1299438476562, 399.0307312011719, 0.9835250377655029], [874.8927612304688, 397.2565002441406, 0.8640428185462952], [1048.6256103515625, 465.7629089355469, 0.9446496367454529], [1022.1897583007812, 456.91033935546875, 0.9012513756752014], [906.2282104492188, 442.18048095703125, 0.9744588732719421], [881.3173828125, 427.12939453125, 0.9451767206192017], [917.5746459960938, 617.3142700195312, 0.9404545426368713], [893.6962890625, 597.6903686523438, 0.9468603730201721]]",person 1
1,person,2,False,pose,0.9202363640069962,310,218,584,650,"[[471.3196716308594, 270.25732421875, 0.9844332933425903], [470.2412109375, 258.892333984375, 0.3841749131679535], [459.8857421875, 260.5343017578125, 0.984546422958374], [453.5667419433594, 263.654296875, 0.0065901209600269794], [428.6106262207031, 267.53619384765625, 0.9636480212211609], [430.2649230957031, 320.3733215332031, 0.9738274216651917], [395.3443908691406, 322.8214111328125, 0.9878811836242676], [462.6484680175781, 403.4368591308594, 0.9467604160308838], [439.3567810058594, 415.356689453125, 0.9863005876541138], [536.109375, 408.19232177734375, 0.9418675899505615], [534.7175903320312, 412.2923889160156, 0.987130343914032], [385.7064514160156, 464.16888427734375, 0.9405344724655151], [359.1451416015625, 474.82647705078125, 0.9625769853591919], [511.2291259765625, 436.3053894042969, 0.9582023024559021], [491.1682434082031, 453.459716796875, 0.9821489453315735], [512.9058227539062, 582.2731323242188, 0.9314912557601929], [480.955810546875, 597.8336181640625, 0.9566475749015808]]",person 2
2,person,1,True,pose,0.929741108417511,819,189,1108,665,"[[912.5216674804688, 255.49588012695312, 0.9810640811920166], [922.9971923828125, 239.48973083496094, 0.9920051693916321], [912.0762939453125, 242.1856689453125, 0.231002539396286], [967.17626953125, 237.85617065429688, 0.9925872683525085], [937.1697998046875, 241.8329315185547, 0.003125461982563138], [1005.201904296875, 289.1246032714844, 0.9942129254341125], [976.1069946289062, 291.61407470703125, 0.9576574563980103], [966.018310546875, 402.8505859375, 0.9794670343399048], [945.0100708007812, 394.29913330078125, 0.6732527613639832], [872.9204711914062, 398.7233581542969, 0.9836734533309937], [874.7191162109375, 396.9741516113281, 0.8627843260765076], [1050.477294921875, 465.09234619140625, 0.946117103099823], [1022.5725708007812, 456.6817932128906, 0.9051238298416138], [906.03955078125, 442.0002746582031, 0.9752728939056396], [880.9339599609375, 427.1221618652344, 0.9485726356506348], [918.2159423828125, 617.4644775390625, 0.9429781436920166], [894.5468139648438, 598.3823852539062, 0.9508624076843262]]",person 1
2,person,2,True,pose,0.9200835347175598,310,218,584,650,"[[470.19403076171875, 269.5966491699219, 0.9837378263473511], [468.9403076171875, 258.22430419921875, 0.36967581510543823], [458.895263671875, 260.2528381347656, 0.9837816953659058], [451.99249267578125, 262.84112548828125, 0.006810556165874004], [427.9726257324219, 267.5047912597656, 0.9644017815589905], [429.07403564453125, 319.8130798339844, 0.9734786748886108], [394.4266662597656, 323.16326904296875, 0.9882469773292542], [462.28448486328125, 402.57403564453125, 0.9378257989883423], [438.2344970703125, 414.19671630859375, 0.9861987829208374], [535.1624755859375, 408.08392333984375, 0.9344826936721802], [533.4561157226562, 411.65313720703125, 0.9874841570854187], [384.0270690917969, 463.07366943359375, 0.9395807385444641], [357.9749755859375, 473.90997314453125, 0.9618662595748901], [510.9114685058594, 435.83331298828125, 0.9610904455184937], [491.4069519042969, 452.62506103515625, 0.9826691150665283], [512.3192138671875, 582.4276733398438, 0.9368686079978943], [480.7735290527344, 597.8843994140625, 0.9578080177307129]]",person 2
3,person,1,False,pose,0.9300663709640503,819,189,1109,665,"[[912.5216674804688, 255.49588012695312, 0.9810640811920166], [922.9971923828125, 239.48973083496094, 0.9920051693916321], [912.0762939453125, 242.1856689453125, 0.231002539396286], [967.17626953125, 237.85617065429688, 0.9925872683525085], [937.1697998046875, 241.8329315185547, 0.003125461982563138], [1005.201904296875, 289.1246032714844, 0.9942129254341125], [976.1069946289062, 291.61407470703125, 0.9576574563980103], [966.018310546875, 402.8505859375, 0.9794670343399048], [945.0100708007812, 394.29913330078125, 0.6732527613639832], [872.9204711914062, 398.7233581542969, 0.9836734533309937], [874.7191162109375, 396.9741516113281, 0.8627843260765076], [1050.477294921875, 465.09234619140625, 0.946117103099823], [1022.5725708007812, 456.6817932128906, 0.9051238298416138], [906.03955078125, 442.0002746582031, 0.9752728939056396], [880.9339599609375, 427.1221618652344, 0.9485726356506348], [918.2159423828125, 617.4644775390625, 0.9429781436920166], [894.5468139648438, 598.3823852539062, 0.9508624076843262]]",person 1
3,person,2,False,pose,0.9198530435562133,310,218,584,651,"[[470.19403076171875, 269.5966491699219, 0.9837378263473511], [468.9403076171875, 258.22430419921875, 0.36967581510543823], [458.895263671875, 260.2528381347656, 0.9837816953659058], [451.99249267578125, 262.84112548828125, 0.006810556165874004], [427.9726257324219, 267.5047912597656, 0.9644017815589905], [429.07403564453125, 319.8130798339844, 0.9734786748886108], [394.4266662597656, 323.16326904296875, 0.9882469773292542], [462.28448486328125, 402.57403564453125, 0.9378257989883423], [438.2344970703125, 414.19671630859375, 0.9861987829208374], [535.1624755859375, 408.08392333984375, 0.9344826936721802], [533.4561157226562, 411.65313720703125, 0.9874841570854187], [384.0270690917969, 463.07366943359375, 0.9395807385444641], [357.9749755859375, 473.90997314453125, 0.9618662595748901], [510.9114685058594, 435.83331298828125, 0.9610904455184937], [491.4069519042969, 452.62506103515625, 0.9826691150665283], [512.3192138671875, 582.4276733398438, 0.9368686079978943], [480.7735290527344, 597.8843994140625, 0.9578080177307129]]",person 2
4,person,1,True,pose,0.9303799450397492,819,189,1109,665,"[[912.5494995117188, 255.43309020996094, 0.980853796005249], [922.926513671875, 239.2790985107422, 0.9919270277023315], [912.099365234375, 242.06295776367188, 0.22791451215744019], [967.1851806640625, 237.52354431152344, 0.9925801157951355], [937.4422607421875, 241.70249938964844, 0.0031117217149585485], [1005.0936889648438, 289.2799987792969, 0.9941480159759521], [976.3807373046875, 291.6608581542969, 0.957240879535675], [966.0169677734375, 403.2823791503906, 0.9794992804527283], [945.8279418945312, 394.7294921875, 0.6724911332130432], [873.0130615234375, 398.7306823730469, 0.9842671751976013], [875.1282348632812, 397.0630187988281, 0.8669295310974121], [1049.8687744140625, 466.865478515625, 0.9448295831680298], [1022.5303955078125, 458.3911437988281, 0.9035434126853943], [906.0006103515625, 442.3988952636719, 0.9744957089424133], [880.7500610351562, 427.04052734375, 0.9480761289596558], [918.472900390625, 617.8969116210938, 0.9422221779823303], [894.6857299804688, 598.615234375, 0.9514305591583252]]",person 1
4,person,2,True,pose,0.9195773243904114,310,218,583,651,"[[468.73077392578125, 268.7456359863281, 0.9836687445640564], [467.4473876953125, 257.68597412109375, 0.3546227514743805], [457.4969482421875, 259.45343017578125, 0.982837438583374], [450.3257141113281, 262.3921203613281, 0.006153023801743984], [426.3938293457031, 266.51898193359375, 0.9614535570144653], [427.8892822265625, 320.5751647949219, 0.9728525876998901], [393.56427001953125, 323.3983459472656, 0.9880943894386292], [462.550048828125, 402.8288879394531, 0.9371582269668579], [437.2662048339844, 414.325927734375, 0.9861969351768494], [535.4033203125, 407.8052673339844, 0.9381008744239807], [532.4392700195312, 411.2486572265625, 0.9879881143569946], [384.08538818359375, 464.3022766113281, 0.9389007687568665], [358.4036865234375, 474.9790344238281, 0.9629163146018982], [510.8670959472656, 435.0537109375, 0.9584958553314209], [492.203125, 452.0257568359375, 0.9825939536094666], [512.0199584960938, 582.3612060546875, 0.9353948831558228], [481.3243103027344, 598.3378295898438, 0.958836019039154]]",person 2
5,person,1,False,pose,0.9307527303695678,820,189,1109,665,"[[912.5494995117188, 255.43309020996094, 0.980853796005249], [922.926513671875, 239.2790985107422, 0.9919270277023315], [912.099365234375, 242.06295776367188, 0.22791451215744019], [967.1851806640625, 237.52354431152344, 0.9925801157951355], [937.4422607421875, 241.70249938964844, 0.0031117217149585485], [1005.0936889648438, 289.2799987792969, 0.9941480159759521], [976.3807373046875, 291.6608581542969, 0.957240879535675], [966.0169677734375, 403.2823791503906, 0.9794992804527283], [945.8279418945312, 394.7294921875, 0.6724911332130432], [873.0130615234375, 398.7306823730469, 0.9842671751976013], [875.1282348632812, 397.0630187988281, 0.8669295310974121], [1049.8687744140625, 466.865478515625, 0.9448295831680298], [1022.5303955078125, 458.3911437988281, 0.9035434126853943], [906.0006103515625, 442.3988952636719, 0.9744957089424133], [880.7500610351562, 427.04052734375, 0.9480761289596558], [918.472900390625, 617.8969116210938, 0.9422221779823303], [894.6857299804688, 598.615234375, 0.9514305591583252]]",person 1
5,person,2,False,pose,0.9192766070365905,309,217,583,652,"[[468.73077392578125, 268.7456359863281, 0.9836687445640564], [467.4473876953125, 257.68597412109375, 0.3546227514743805], [457.4969482421875, 259.45343017578125, 0.982837438583374], [450.3257141113281, 262.3921203613281, 0.006153023801743984], [426.3938293457031, 266.51898193359375, 0.9614535570144653], [427.8892822265625, 320.5751647949219, 0.9728525876998901], [393.56427001953125, 323.3983459472656, 0.9880943894386292], [462.550048828125, 402.8288879394531, 0.9371582269668579], [437.2662048339844, 414.325927734375, 0.9861969351768494], [535.4033203125, 407.8052673339844, 0.9381008744239807], [532.4392700195312, 411.2486572265625, 0.9879881143569946], [384.08538818359375, 464.3022766113281, 0.9389007687568665], [358.4036865234375, 474.9790344238281, 0.9629163146018982], [510.8670959472656, 435.0537109375, 0.9584958553314209], [492.203125, 452.0257568359375, 0.9825939536094666], [512.0199584960938, 582.3612060546875, 0.9353948831558228], [481.3243103027344, 598.3378295898438, 0.958836019039154]]",person 2
6,person,1,True,pose,0.9311343133449554,820,189,1109,666,"[[912.4950561523438, 255.49063110351562, 0.9808620810508728], [922.8211059570312, 239.21531677246094, 0.9918305277824402], [912.1409301757812, 242.16590881347656, 0.21844138205051422], [967.3193969726562, 237.2232208251953, 0.9924041628837585], [937.7241821289062, 241.7537384033203, 0.0028115964960306883], [1005.6353759765625, 289.0390930175781, 0.994086742401123], [976.3406372070312, 291.8853759765625, 0.9566434025764465], [966.3091430664062, 402.9317626953125, 0.9795657396316528], [946.2581787109375, 394.91754150390625, 0.6734076142311096], [873.1288452148438, 398.69677734375, 0.9841193556785583], [875.1209106445312, 397.2515869140625, 0.8666239380836487], [1050.4892578125, 468.3661193847656, 0.9438217282295227], [1022.7190551757812, 460.0551452636719, 0.9017010927200317], [906.2684326171875, 442.2040100097656, 0.9737734198570251], [880.802734375, 427.3133239746094, 0.9464521408081055], [918.73486328125, 617.9249267578125, 0.940452516078949], [894.8743286132812, 598.8375244140625, 0.9497524499893188]]",person 1
6,person,2,True,pose,0.9190311551094055,309,217,583,652,"[[467.64404296875, 267.17706298828125, 0.984403133392334], [466.3419494628906, 256.4650573730469, 0.347093403339386], [456.20184326171875, 257.77215576171875, 0.9832538962364197], [449.3791809082031, 261.4527587890625, 0.00552396522834897], [424.629150390625, 264.7389831542969, 0.9621291756629944], [428.0167236328125, 320.875, 0.9763790965080261], [392.9358825683594, 323.1479797363281, 0.9875466227531433], [462.9103088378906, 403.2834777832031, 0.9535189867019653], [436.4271240234375, 414.15869140625, 0.9846189618110657], [535.877685546875, 407.5782470703125, 0.9555615186691284], [530.322265625, 411.5711364746094, 0.9856227040290833], [385.59088134765625, 465.4518127441406, 0.9448378682136536], [358.9783020019531, 475.8807678222656, 0.9625595211982727], [510.67462158203125, 436.59588623046875, 0.9642204642295837], [492.07867431640625, 453.0870666503906, 0.982631266117096], [512.4215087890625, 583.1548461914062, 0.9393569827079773], [480.92974853515625, 598.5247192382812, 0.9573634266853333]]",person 2
7,person,1,False,pose,0.9313610017299652,820,189,1109,666,"[[912.4950561523438, 255.49063110351562, 0.9808620810508728], [922.8211059570312, 239.21531677246094, 0.9918305277824402], [912.1409301757812, 242.16590881347656, 0.21844138205051422], [967.3193969726562, 237.2232208251953, 0.9924041628837585], [937.7241821289062, 241.7537384033203, 0.0028115964960306883], [1005.6353759765625, 289.0390930175781, 0.994086742401123], [976.3406372070312, 291.8853759765625, 0.9566434025764465], [966.3091430664062, 402.9317626953125, 0.9795657396316528], [946.2581787109375, 394.91754150390625, 0.6734076142311096], [873.1288452148438, 398.69677734375, 0.9841193556785583], [875.1209106445312, 397.2515869140625, 0.8666239380836487], [1050.4892578125, 468.3661193847656, 0.9438217282295227], [1022.7190551757812, 460.0551452636719, 0.9017010927200317], [906.2684326171875, 442.2040100097656, 0.9737734198570251], [880.802734375, 427.3133239746094, 0.9464521408081055], [918.73486328125, 617.9249267578125, 0.940452516078949], [894.8743286132812, 598.8375244140625, 0.9497524499893188]]",person 1
7,person,2,False,pose,0.9188785254955292,309,217,583,653,"[[467.64404296875, 267.17706298828125, 0.984403133392334], [466.3419494628906, 256.4650573730469, 0.347093403339386], [456.20184326171875, 257.77215576171875, 0.9832538962364197], [449.3791809082031, 261.4527587890625, 0.00552396522834897], [424.629150390625, 264.7389831542969, 0.9621291756629944], [428.0167236328125, 320.875, 0.9763790965080261], [392.9358825683594, 323.1479797363281, 0.9875466227531433], [462.9103088378906, 403.2834777832031, 0.9535189867019653], [436.4271240234375, 414.15869140625, 0.9846189618110657], [535.877685546875, 407.5782470703125, 0.9555615186691284], [530.322265625, 411.5711364746094, 0.9856227040290833], [385.59088134765625, 465.4518127441406, 0.9448378682136536], [358.9783020019531, 475.8807678222656, 0.9625595211982727], [510.67462158203125, 436.59588623046875, 0.9642204642295837], [492.07867431640625, 453.0870666503906, 0.982631266117096], [512.4215087890625, 583.1548461914062, 0.9393569827079773], [480.92974853515625, 598.5247192382812, 0.9573634266853333]]",person 2
8,person,1,True,pose,0.9314948976039886,820,189,1109,666,"[[912.619384765625, 255.3631591796875, 0.9812383651733398], [923.1075439453125, 239.16551208496094, 0.9918756484985352], [912.2030639648438, 241.8623046875, 0.23017095029354095], [967.394287109375, 237.43856811523438, 0.992268979549408], [937.2962036132812, 241.42921447753906, 0.0030472874641418457], [1005.9074096679688, 289.20849609375, 0.9940899014472961], [975.875, 291.80560302734375, 0.9573766589164734], [966.796142578125, 402.7518615722656, 0.9798399806022644], [946.239501953125, 394.5322265625, 0.6752496957778931], [873.343505859375, 398.7480163574219, 0.9843595623970032], [875.0179443359375, 397.2598571777344, 0.867339551448822], [1050.6539306640625, 468.3182373046875, 0.9438153505325317], [1022.2550659179688, 459.7866516113281, 0.9035649299621582], [906.6611328125, 442.73638916015625, 0.9745441675186157], [880.7505493164062, 427.4825134277344, 0.9497970938682556], [919.5738525390625, 619.566650390625, 0.9437956809997559], [895.0020751953125, 599.8378295898438, 0.9544128775596619]]",person 1
8,person,2,True,pose,0.9187836825847626,309,216,583,653,"[[466.9897766113281, 266.05987548828125, 0.9864641427993774], [466.0285949707031, 255.37130737304688, 0.4072258472442627], [454.7177429199219, 256.9753112792969, 0.9856786131858826], [450.5178527832031, 260.70050048828125, 0.00622863695025444], [422.7043151855469, 264.7862548828125, 0.9617014527320862], [428.5032958984375, 320.065185546875, 0.9753820896148682], [392.88330078125, 322.95574951171875, 0.9872877597808838], [462.11602783203125, 402.63800048828125, 0.9500257968902588], [436.7974853515625, 414.32421875, 0.9853492379188538], [535.3292846679688, 407.5542297363281, 0.950067400932312], [531.4406127929688, 411.41461181640625, 0.9866488575935364], [384.5593566894531, 463.7869567871094, 0.9423959851264954], [357.6004943847656, 474.35626220703125, 0.9628645777702332], [510.24090576171875, 436.7182922363281, 0.9605765342712402], [491.5947265625, 452.30523681640625, 0.98305743932724], [511.0972900390625, 583.0422973632812, 0.9300768971443176], [481.0106201171875, 599.219482421875, 0.9558748006820679]]",person 2
9,person,1,False,pose,0.9316365957260132,821,189,1109,667,"[[912.619384765625, 255.3631591796875, 0.9812383651733398], [923.1075439453125, 239.16551208496094, 0.9918756484985352], [912.2030639648438, 241.8623046875, 0.23017095029354095], [967.394287109375, 237.43856811523438, 0.992268979549408], [937.2962036132812, 241.42921447753906, 0.0030472874641418457], [1005.9074096679688, 289.20849609375, 0.9940899014472961], [975.875, 291.80560302734375, 0.9573766589164734], [966.796142578125, 402.7518615722656, 0.9798399806022644], [946.239501953125, 394.5322265625, 0.6752496957778931], [873.343505859375, 398.7480163574219, 0.9843595623970032], [875.0179443359375, 397.2598571777344, 0.867339551448822], [1050.6539306640625, 468.3182373046875, 0.9438153505325317], [1022.2550659179688, 459.7866516113281, 0.9035649299621582], [906.6611328125, 442.73638916015625, 0.9745441675186157], [880.7505493164062, 427.4825134277344, 0.9497970938682556], [919.5738525390625, 619.566650390625, 0.9437956809997559], [895.0020751953125, 599.8378295898438, 0.9544128775596619]]",person 1
9,person,2,False,pose,0.9188327848911285,309,216,583,654,"[[466.9897766113281, 266.05987548828125, 0.9864641427993774], [466.0285949707031, 255.37130737304688, 0.4072258472442627], [454.7177429199219, 256.9753112792969, 0.9856786131858826], [450.5178527832031, 260.70050048828125, 0.00622863695025444], [422.7043151855469, 264.7862548828125, 0.9617014527320862], [428.5032958984375, 320.065185546875, 0.9753820896148682], [392.88330078125, 322.95574951171875, 0.9872877597808838], [462.11602783203125, 402.63800048828125, 0.9500257968902588], [436.7974853515625, 414.32421875, 0.9853492379188538], [535.3292846679688, 407.5542297363281, 0.950067400932312], [531.4406127929688, 411.41461181640625, 0.9866488575935364], [384.5593566894531, 463.7869567871094, 0.9423959851264954], [357.6004943847656, 474.35626220703125, 0.9628645777702332], [510.24090576171875, 436.7182922363281, 0.9605765342712402], [491.5947265625, 452.30523681640625, 0.98305743932724], [511.0972900390625, 583.0422973632812, 0.9300768971443176], [481.0106201171875, 599.219482421875, 0.9558748006820679]]",person 2
10,person,1,True,pose,0.9317151963710785,821,189,1110,667,"[[912.5021362304688, 255.32460021972656, 0.9807955622673035], [922.97314453125, 239.0936737060547, 0.9918069243431091], [912.0997924804688, 241.93458557128906, 0.2266477346420288], [967.4613037109375, 237.37347412109375, 0.9923241138458252], [937.32080078125, 241.65286254882812, 0.0030073109082877636], [1005.5670166015625, 288.9842834472656, 0.9940668344497681], [975.7958374023438, 291.8324279785156, 0.9582409262657166], [966.7553100585938, 402.720458984375, 0.9798540472984314], [946.0050048828125, 394.5889892578125, 0.6873258352279663], [873.4762573242188, 398.8590087890625, 0.9837386608123779], [874.8248901367188, 397.4478454589844, 0.8711923360824585], [1050.5628662109375, 468.2036437988281, 0.9437702298164368], [1022.3534545898438, 459.8776550292969, 0.9047842025756836], [906.7025756835938, 442.759033203125, 0.9742051959037781], [880.882568359375, 427.62615966796875, 0.9501153230667114], [919.9856567382812, 618.9917602539062, 0.9446153044700623], [895.2205810546875, 599.4345703125, 0.9556110501289368]]",person 1
10,person,2,True,pose,0.9190056025981903,309,216,583,654,"[[466.63763427734375, 266.1979675292969, 0.9864793419837952], [465.6878662109375, 255.485107421875, 0.40592384338378906], [454.4219055175781, 257.1024475097656, 0.9856690168380737], [450.2160339355469, 260.70672607421875, 0.006257430650293827], [422.3753967285156, 264.8202209472656, 0.9619364142417908], [428.5477600097656, 319.8784484863281, 0.9756358861923218], [392.7987365722656, 322.9609375, 0.9872468709945679], [462.17169189453125, 402.4190979003906, 0.9495958089828491], [436.8258972167969, 413.7825927734375, 0.9846920371055603], [535.3973999023438, 407.4609375, 0.9499639272689819], [531.0172729492188, 411.3892822265625, 0.9860270023345947], [384.2052001953125, 462.5330505371094, 0.9418266415596008], [357.0545959472656, 473.0552978515625, 0.9622552990913391], [509.8708801269531, 436.2929992675781, 0.9616843461990356], [491.1877746582031, 451.8269348144531, 0.9834717512130737], [511.16632080078125, 583.1448364257812, 0.9306256771087646], [480.8934326171875, 599.208251953125, 0.9562978148460388]]",person 2
11,person,1,False,pose,0.931691575050354,821,189,1110,667,"[[912.5021362304688, 255.32460021972656, 0.9807955622673035], [922.97314453125, 239.0936737060547, 0.9918069243431091], [912.0997924804688, 241.93458557128906, 0.2266477346420288], [967.4613037109375, 237.37347412109375, 0.9923241138458252], [937.32080078125, 241.65286254882812, 0.0030073109082877636], [1005.5670166015625, 288.9842834472656, 0.9940668344497681], [975.7958374023438, 291.8324279785156, 0.9582409262657166], [966.7553100585938, 402.720458984375, 0.9798540472984314], [946.0050048828125, 394.5889892578125, 0.6873258352279663], [873.4762573242188, 398.8590087890625, 0.9837386608123779], [874.8248901367188, 397.4478454589844, 0.8711923360824585], [1050.5628662109375, 468.2036437988281, 0.9437702298164368], [1022.3534545898438, 459.8776550292969, 0.9047842025756836], [906.7025756835938, 442.759033203125, 0.9742051959037781], [880.882568359375, 427.62615966796875, 0.9501153230667114], [919.9856567382812, 618.9917602539062, 0.9446153044700623], [895.2205810546875, 599.4345703125, 0.9556110501289368]]",person 1
11,person,2,False,pose,0.9192053377628326,309,216,583,654,"[[466.63763427734375, 266.1979675292969, 0.9864793419837952], [465.6878662109375, 255.485107421875, 0.40592384338378906], [454.4219055175781, 257.1024475097656, 0.9856690168380737], [450.2160339355469, 260.70672607421875, 0.006257430650293827], [422.3753967285156, 264.8202209472656, 0.9619364142417908], [428.5477600097656, 319.8784484863281, 0.9756358861923218], [392.7987365722656, 322.9609375, 0.9872468709945679], [462.17169189453125, 402.4190979003906, 0.9495958089828491], [436.8258972167969, 413.7825927734375, 0.9846920371055603], [535.3973999023438, 407.4609375, 0.9499639272689819], [531.0172729492188, 411.3892822265625, 0.9860270023345947], [384.2052001953125, 462.5330505371094, 0.9418266415596008], [357.0545959472656, 473.0552978515625, 0.9622552990913391], [509.8708801269531, 436.2929992675781, 0.9616843461990356], [491.1877746582031, 451.8269348144531, 0.9834717512130737], [511.16632080078125, 583.1448364257812, 0.9306256771087646], [480.8934326171875, 599.208251953125, 0.9562978148460388]]",person 2
12,person,1,True,pose,0.9317294239997864,821,189,1110,667,"[[912.7947998046875, 255.33990478515625, 0.9800889492034912], [923.2120971679688, 239.06008911132812, 0.9914947748184204], [912.412353515625, 241.8669891357422, 0.2218647301197052], [967.6181640625, 237.2890167236328, 0.9922332763671875], [937.57568359375, 241.5133056640625, 0.0030151125974953175], [1006.1251831054688, 288.93646240234375, 0.9939996004104614], [975.4598388671875, 291.78546142578125, 0.9591056108474731], [967.0300903320312, 403.0870361328125, 0.9796154499053955], [945.6001586914062, 394.6320495605469, 0.6872211694717407], [873.4624633789062, 398.7950439453125, 0.9836406111717224], [874.8623657226562, 397.6653137207031, 0.8675408363342285], [1051.2020263671875, 467.7599182128906, 0.9443813562393188], [1022.206298828125, 459.3829650878906, 0.9075532555580139], [907.27685546875, 442.88299560546875, 0.9745374917984009], [880.7161254882812, 427.5318603515625, 0.9521420001983643], [920.3618774414062, 619.872802734375, 0.9462983012199402], [895.1870727539062, 599.6935424804688, 0.9583031535148621]]",person 1
12,person,2,True,pose,0.9193944334983826,308,216,583,654,"[[466.9472961425781, 266.47320556640625, 0.9863938689231873], [465.8616027832031, 255.644775390625, 0.38742437958717346], [454.8511962890625, 257.171630859375, 0.9855904579162598], [449.68829345703125, 260.456298828125, 0.005625264253467321], [422.58734130859375, 264.391357421875, 0.9626157283782959], [427.64971923828125, 319.2120056152344, 0.97496098279953], [392.8055419921875, 322.61712646484375, 0.9873248338699341], [461.40081787109375, 402.1158142089844, 0.9463756084442139], [435.7386474609375, 413.83477783203125, 0.9846716523170471], [534.8985595703125, 407.7215576171875, 0.946759819984436], [531.097412109375, 411.5696105957031, 0.9866134524345398], [382.9867248535156, 462.6477355957031, 0.9391005635261536], [356.3160705566406, 473.24420166015625, 0.9619452357292175], [509.5033264160156, 436.1327209472656, 0.9586499333381653], [490.52880859375, 451.8587951660156, 0.9833365082740784], [510.26556396484375, 582.64990234375, 0.9256848692893982], [480.862060546875, 599.2676391601562, 0.9556047320365906]]",person 2
13,person,1,False,pose,0.9318593561649322,822,189,1110,667,"[[912.7947998046875, 255.33990478515625, 0.9800889492034912], [923.2120971679688, 239.06008911132812, 0.9914947748184204], [912.412353515625, 241.8669891357422, 0.2218647301197052], [967.6181640625, 237.2890167236328, 0.9922332763671875], [937.57568359375, 241.5133056640625, 0.0030151125974953175], [1006.1251831054688, 288.93646240234375, 0.9939996004104614], [975.4598388671875, 291.78546142578125, 0.9591056108474731], [967.0300903320312, 403.0870361328125, 0.9796154499053955], [945.6001586914062, 394.6320495605469, 0.6872211694717407], [873.4624633789062, 398.7950439453125, 0.9836406111717224], [874.8623657226562, 397.6653137207031, 0.8675408363342285], [1051.2020263671875, 467.7599182128906, 0.9443813562393188], [1022.206298828125, 459.3829650878906, 0.9075532555580139], [907.27685546875, 442.88299560546875, 0.9745374917984009], [880.7161254882812, 427.5318603515625, 0.9521420001983643], [920.3618774414062, 619.872802734375, 0.9462983012199402], [895.1870727539062, 599.6935424804688, 0.9583031535148621]]",person 1
