frame_idx,track_id,gaze_detected,inout,x_gaze,y_gaze,offscreen_direction,offscreen_yaw,offscreen_pitch
0,1,True,5.324748675169151e-06,833,156,up right,42.34073384602865,27.967356363932293
1,1,True,5.956139204954525e-06,834,156,up right,42.83613586425781,27.605438232421875
2,1,True,6.11736918472161e-06,836,155,up right,43.69508056640625,27.169674682617188
3,1,True,6.4786207985889636e-06,837,156,up right,43.17006225585938,26.401614379882812
4,1,True,5.768180517407018e-06,842,157,up right,44.32798461914062,26.3810791015625
5,1,True,4.679138896790391e-06,842,158,up right,42.83744812011719,24.557476806640626
6,1,True,3.916354148714163e-06,836,161,up right,40.163824462890624,24.3072265625
7,1,True,3.6871729435006272e-06,838,162,up right,37.628668212890624,25.414208984375
8,1,True,5.935411559221393e-06,841,160,up right,37.785281372070315,29.747930908203124
9,1,True,9.303079491473908e-06,849,157,up right,33.489260864257815,34.39601440429688
10,1,True,1.4732201634615194e-05,859,150,up right,31.265399169921874,41.009194946289064
11,1,True,2.0753751687152545e-05,860,148,up right,31.0148193359375,45.17317199707031
12,1,True,2.4990931706270203e-05,864,146,up right,29.8680908203125,48.50978088378906
13,1,True,2.5192790781147777e-05,865,144,up right,26.039276123046875,48.621368408203125
14,1,True,2.3379668164125178e-05,865,143,up right,26.8276123046875,48.27189331054687
15,1,True,1.9200237784389173e-05,869,143,up right,26.546450805664062,46.947314453125
16,1,True,1.3984312772663543e-05,870,142,up right,26.019454956054688,48.12904052734375
17,1,True,1.0966805075440788e-05,870,142,up right,25.588351440429687,48.61693420410156
18,1,True,9.748442516865908e-06,870,140,up right,26.56525573730469,49.54043273925781
19,1,True,1.0140798713109688e-05,871,138,up right,24.846096801757813,50.28153686523437
20,1,True,1.1109482147730888e-05,871,138,up right,25.062310791015626,51.78639526367188
21,1,True,1.2134932512708474e-05,873,137,up right,22.79522705078125,51.24913024902344
22,1,True,1.249672204721719e-05,873,137,up right,21.153744506835938,50.876593017578124
23,1,True,1.3008888890908565e-05,875,136,up right,19.9839599609375,48.99284057617187
24,1,True,1.3216254592407494e-05,874,137,up right,20.091119384765626,48.54770202636719
25,1,True,1.3618545381177682e-05,872,138,up right,18.083807373046874,46.960845947265625
26,1,True,1.3315467913344037e-05,868,138,up right,17.963629150390624,46.74165649414063
27,1,True,1.4344064766191877e-05,867,138,up right,17.956179809570312,46.93411560058594
28,1,True,1.5378366151708177e-05,866,138,up right,15.7150634765625,48.789144897460936
29,1,True,1.699570184428012e-05,864,138,up right,14.90048828125,46.960873413085935
30,1,True,1.7975521404878237e-05,861,140,up right,17.550326538085937,47.85160522460937
31,1,True,2.0568660693243147e-05,865,141,up right,20.006185913085936,47.43771667480469
32,1,True,2.527114484109916e-05,867,142,up right,19.938504028320313,48.49447937011719
33,1,True,3.01473330182489e-05,867,142,up right,22.363937377929688,48.03410949707031
34,1,True,3.36691431584768e-05,869,143,up right,24.303494262695313,48.630191040039065
35,1,True,3.7672761754947716e-05,869,143,up right,26.564996337890626,48.85804443359375
36,1,True,3.977478263550438e-05,872,144,up right,26.82005615234375,49.69533081054688
37,1,True,3.164497879879491e-05,869,147,up right,28.55664978027344,40.419158935546875
38,1,True,2.3134523985390842e-05,862,153,up right,28.452490234375,33.463897705078125
39,1,True,1.620488312710222e-05,862,156,up right,26.988528442382812,27.865829467773438
40,1,True,1.0055945881504159e-05,862,155,up right,22.916897583007813,27.102005004882812
41,1,True,7.50811980196886e-06,862,155,up right,21.132965087890625,26.829379272460937
42,1,True,1.1957646415794443e-05,868,150,up right,18.57532653808594,34.19925231933594
43,1,True,1.6571273317822487e-05,872,147,up right,18.0353759765625,40.68917541503906
44,1,True,2.0864502221229487e-05,872,144,up right,18.658328247070312,47.656610107421876
45,1,True,2.6257422359776682e-05,871,144,up right,18.018600463867188,48.40904541015625
46,1,True,2.7973699616268277e-05,871,144,up right,19.70692138671875,47.73893737792969
47,1,True,2.9276062196004205e-05,869,143,up right,21.42862548828125,49.1362548828125
48,1,True,2.9269337755977175e-05,868,143,up right,21.91378173828125,50.49112548828125
49,1,True,2.8545226814458147e-05,870,144,up right,21.1117919921875,50.39642333984375
50,1,True,2.5554906096658668e-05,870,144,up right,20.331561279296874,49.2283935546875
51,1,True,2.2637826259597204e-05,870,144,up right,18.90523681640625,50.77200622558594
52,1,True,2.0126528397668153e-05,872,144,up right,17.700701904296874,50.94380493164063
53,1,True,1.7151181600638667e-05,870,144,up right,18.221807861328124,51.639404296875
54,1,True,1.5337051991082262e-05,867,142,up right,18.264102172851562,51.843841552734375
55,1,True,1.4374134298122954e-05,863,142,up right,19.16509094238281,52.100592041015624
56,1,True,1.4072420162847265e-05,861,142,up right,18.770343017578124,51.10298156738281
57,1,True,1.2056743435095995e-05,860,141,up right,19.573944091796875,50.395294189453125
58,1,True,1.1062471367040417e-05,858,141,up right,19.885205078125,48.55289916992187
59,1,True,8.774113439358189e-06,858,142,up right,20.96697082519531,44.105654907226565
60,1,True,5.8903237686536155e-06,857,145,up right,21.644515991210938,38.18688049316406
61,1,True,3.1116647051021572e-06,854,150,up right,21.276788330078126,33.87544555664063
62,1,True,2.6313967509850046e-06,860,150,up right,19.96959228515625,32.84184265136719
63,1,True,3.250217037020775e-06,862,152,up right,17.764434814453125,31.215213012695312
64,1,True,4.622822575583996e-06,867,151,up right,16.51744384765625,34.41800231933594
65,1,True,6.156452627692488e-06,872,144,up right,17.15973815917969,40.825714111328125
66,1,True,7.925734462332911e-06,872,140,up right,17.566378784179687,44.8970947265625
67,1,True,9.289007175539155e-06,872,140,up right,20.262313842773438,44.195065307617185
68,1,True,1.013244254863821e-05,871,139,up right,21.729083251953124,44.13711242675781
69,1,True,1.0608125558064785e-05,871,139,up right,23.161993408203124,44.579592895507815
