frame_idx,cls,track_id,source,conf,x1,y1,x2,y2,pose_keypoints,label
0,person,1,pose,0.9537921746571859,515,46,1217,755,"[[836.505615234375, 234.41648864746094, 0.9987772107124329], [900.3591918945312, 203.3070068359375, 0.9989180564880371], [812.4755859375, 186.6411895751953, 0.9938299059867859], [978.2203369140625, 264.35418701171875, 0.9820982813835144], [765.9196166992188, 220.08908081054688, 0.44331127405166626], [1086.8724365234375, 471.96929931640625, 0.9939391613006592], [638.8711547851562, 467.4386901855469, 0.9962543249130249], [1150.7193603515625, 759.1976318359375, 0.3285927474498749], [574.700439453125, 758.25, 0.37652790546417236], [1056.1240234375, 724.8168334960938, 0.005845439154654741], [626.0699462890625, 731.2846069335938, 0.004589335061609745], [987.016845703125, 768.0, 0.0009648017003200948], [707.3834228515625, 768.0, 0.001139939995482564], [993.0584716796875, 718.9984741210938, 0.0008936264785006642], [708.380859375, 742.847900390625, 0.0006928622024133801], [925.9837036132812, 768.0, 0.0007967207347974181], [778.775390625, 768.0, 0.0006578395259566605]]",person 1
1,person,1,pose,0.9538146555423737,515,46,1217,755,"[[837.3843383789062, 233.4766082763672, 0.9987731575965881], [901.283447265625, 203.02984619140625, 0.9988729357719421], [813.0995483398438, 186.0614013671875, 0.9936809539794922], [978.3984985351562, 265.0257873535156, 0.9809256196022034], [765.8419799804688, 220.19813537597656, 0.44534966349601746], [1085.464599609375, 471.92327880859375, 0.9939804077148438], [638.8294677734375, 467.60382080078125, 0.996190071105957], [1150.10498046875, 758.7485961914062, 0.33409956097602844], [574.9945068359375, 758.17431640625, 0.3789570927619934], [1055.1431884765625, 724.719482421875, 0.005885578226298094], [627.7398071289062, 730.5780639648438, 0.004748114850372076], [985.6229248046875, 768.0, 0.000967387284617871], [706.7424926757812, 768.0, 0.0011450288584455848], [991.5926513671875, 719.082763671875, 0.0008994339150376618], [707.85009765625, 742.5947265625, 0.0007008032407611609], [924.243896484375, 768.0, 0.000792527396697551], [778.463134765625, 768.0, 0.0006593685247935355]]",person 1
2,person,1,pose,0.9538579821586609,515,46,1217,755,"[[838.1856079101562, 232.53729248046875, 0.9987573623657227], [902.0327758789062, 202.56568908691406, 0.9988596439361572], [813.6990356445312, 185.25799560546875, 0.9935012459754944], [977.8831787109375, 265.05389404296875, 0.9815165996551514], [766.1043701171875, 219.685546875, 0.45088377594947815], [1086.4278564453125, 471.3238525390625, 0.9939658045768738], [638.5697021484375, 467.874267578125, 0.9961785078048706], [1149.985595703125, 758.8385009765625, 0.3376852571964264], [575.3202514648438, 758.030029296875, 0.38980308175086975], [1052.739013671875, 724.7675170898438, 0.005912946071475744], [628.2390747070312, 731.6315307617188, 0.0047890860587358475], [985.55859375, 768.0, 0.0009717889479361475], [706.4031982421875, 768.0, 0.001162417116574943], [991.1214599609375, 719.254638671875, 0.000880585634149611], [706.8299560546875, 742.6238403320312, 0.0006882583838887513], [923.4424438476562, 768.0, 0.0007945929537527263], [777.4193725585938, 768.0, 0.0006679306970909238]]",person 1
3,person,1,pose,0.9539370059967041,515,46,1217,755,"[[839.1881713867188, 231.3868865966797, 0.998759388923645], [902.8794555664062, 201.84593200683594, 0.9988294243812561], [814.2815551757812, 184.6331024169922, 0.9933035969734192], [977.767822265625, 264.7352294921875, 0.9813182950019836], [766.4031372070312, 219.70738220214844, 0.4553907811641693], [1086.6990966796875, 471.1468811035156, 0.9940415024757385], [638.579345703125, 468.19488525390625, 0.9960575103759766], [1149.8502197265625, 758.7086181640625, 0.33272141218185425], [575.3213500976562, 757.8859252929688, 0.3708971440792084], [1052.862548828125, 723.3028564453125, 0.0059830378741025925], [628.4931640625, 729.4891967773438, 0.004684985615313053], [985.8472290039062, 768.0, 0.0009964039782062173], [706.9182739257812, 768.0, 0.0011770742712542415], [991.900634765625, 717.859130859375, 0.0008924701251089573], [708.022216796875, 741.3184204101562, 0.0006972960545681417], [924.0318603515625, 768.0, 0.0007898482726886868], [778.5271606445312, 768.0, 0.0006692021270282567]]",person 1
4,person,1,pose,0.9540426015853882,515,45,1217,755,"[[840.1875, 229.88450622558594, 0.9987592697143555], [903.8097534179688, 201.09732055664062, 0.9988254904747009], [815.4942626953125, 183.15042114257812, 0.9933298230171204], [978.0575561523438, 265.2967529296875, 0.9810048937797546], [767.3396606445312, 218.7964630126953, 0.4631529748439789], [1086.8975830078125, 470.8891906738281, 0.993922770023346], [638.8529663085938, 467.8207092285156, 0.9960193037986755], [1149.673828125, 758.8084716796875, 0.3334049880504608], [575.365234375, 758.0013427734375, 0.37288984656333923], [1051.8424072265625, 723.282958984375, 0.0060790725983679295], [630.04150390625, 728.6038208007812, 0.004708182066679001], [986.2816162109375, 768.0, 0.0010018015746027231], [706.841552734375, 768.0, 0.0011938483221456409], [992.0504760742188, 718.47900390625, 0.0008852306636981666], [707.841552734375, 741.9068603515625, 0.0006993414717726409], [923.7130126953125, 768.0, 0.0007777020800858736], [778.5780029296875, 768.0, 0.0006690905429422855]]",person 1
5,person,1,pose,0.9540772080421448,515,45,1217,755,"[[840.9283447265625, 229.04171752929688, 0.9987536668777466], [905.156005859375, 200.87094116210938, 0.9988031387329102], [816.3634643554688, 182.30723571777344, 0.9932199120521545], [978.9990844726562, 265.9644775390625, 0.9808080196380615], [767.854248046875, 218.03578186035156, 0.4640413820743561], [1086.4954833984375, 470.304931640625, 0.9937585592269897], [639.123046875, 467.64251708984375, 0.9959607720375061], [1149.38671875, 759.0068359375, 0.3210544288158417], [575.6461181640625, 758.0467529296875, 0.35717958211898804], [1047.8070068359375, 721.6505737304688, 0.005996412131935358], [630.3402099609375, 727.2517700195312, 0.004537811037153006], [986.2299194335938, 768.0, 0.001003767247311771], [707.3221435546875, 768.0, 0.0012051413068547845], [991.7083740234375, 718.0842895507812, 0.0008861838723532856], [707.6732788085938, 741.3873901367188, 0.0007008242537267506], [923.012939453125, 768.0, 0.00077438895823434], [778.25, 768.0, 0.0006736401119269431]]",person 1
6,person,1,pose,0.9540936470031738,515,45,1217,755,"[[842.8211059570312, 228.02288818359375, 0.9987217783927917], [906.4518432617188, 200.4105682373047, 0.9987585544586182], [818.1322631835938, 181.8304443359375, 0.9933468103408813], [979.6223754882812, 265.9366455078125, 0.9794127941131592], [768.7651977539062, 218.17140197753906, 0.4834308326244354], [1086.725341796875, 469.5765380859375, 0.993749737739563], [639.5144653320312, 467.20916748046875, 0.9959724545478821], [1149.789794921875, 759.119140625, 0.3309699594974518], [575.8538208007812, 758.2129516601562, 0.3649942874908447], [1049.624267578125, 721.5510864257812, 0.006044584792107344], [631.1134033203125, 727.3823852539062, 0.004533580504357815], [986.4313354492188, 768.0, 0.0010065332753583789], [707.4487915039062, 768.0, 0.0012134341523051262], [992.1271362304688, 719.1836547851562, 0.000888192793354392], [707.6472778320312, 742.5933227539062, 0.0007109501166269183], [922.9259033203125, 768.0, 0.0007526531699113548], [778.1600952148438, 768.0, 0.0006643959786742926]]",person 1
7,person,1,pose,0.9540613770484925,515,45,1217,755,"[[845.0834350585938, 227.6494140625, 0.9987599849700928], [908.212890625, 200.8124542236328, 0.9987155199050903], [819.7830810546875, 182.09983825683594, 0.9938402771949768], [980.4786376953125, 265.9722900390625, 0.9762178659439087], [769.5048217773438, 218.19384765625, 0.5109145045280457], [1086.2198486328125, 469.8946533203125, 0.9937384128570557], [639.8980712890625, 467.127197265625, 0.9958890080451965], [1150.156494140625, 758.2681274414062, 0.3566359877586365], [575.92724609375, 758.0189819335938, 0.3755965530872345], [1050.783203125, 721.7330322265625, 0.00634785695001483], [631.8389282226562, 727.580810546875, 0.004630775190889835], [985.8262329101562, 768.0, 0.0010144873522222042], [707.436767578125, 768.0, 0.001213191426359117], [992.7507934570312, 719.8992919921875, 0.0009118744637817144], [707.74951171875, 743.3543090820312, 0.0007341231685131788], [922.8472290039062, 768.0, 0.0007494991878047585], [778.1757202148438, 768.0, 0.0006628290866501629]]",person 1
8,person,1,pose,0.954051387310028,515,45,1217,755,"[[847.2210083007812, 226.25608825683594, 0.9987980127334595], [909.8137817382812, 200.3175811767578, 0.9987875819206238], [821.97900390625, 180.76930236816406, 0.9941360950469971], [981.2410888671875, 266.28082275390625, 0.9756303429603577], [770.6138916015625, 217.02670288085938, 0.5243504047393799], [1086.3731689453125, 469.68060302734375, 0.9936479926109314], [640.1276245117188, 467.16571044921875, 0.9958280920982361], [1149.925048828125, 758.3593139648438, 0.35395196080207825], [575.9168090820312, 758.064208984375, 0.3674874007701874], [1051.263671875, 720.98583984375, 0.006439389660954475], [632.687744140625, 726.7919921875, 0.004446643870323896], [986.1759643554688, 768.0, 0.0009982659248635173], [707.7153930664062, 768.0, 0.0011910104658454657], [992.7122802734375, 719.6139526367188, 0.0008985371678136289], [708.5294799804688, 743.7405395507812, 0.0007308674976229668], [922.5814819335938, 768.0, 0.0007397487643174827], [778.4458618164062, 768.0, 0.0006683111423626542]]",person 1
9,person,1,pose,0.9540456771850586,515,45,1217,755,"[[849.4761352539062, 224.56790161132812, 0.9988956451416016], [912.3974609375, 197.83995056152344, 0.9989314675331116], [824.693115234375, 176.86668395996094, 0.9949370622634888], [981.1378173828125, 267.19696044921875, 0.9764181971549988], [772.3314208984375, 214.8613739013672, 0.570216178894043], [1085.9071044921875, 468.9440612792969, 0.9937182664871216], [640.4093017578125, 466.592529296875, 0.9957395792007446], [1149.7191162109375, 758.0441284179688, 0.35045865178108215], [576.0916137695312, 758.0989379882812, 0.363545686006546], [1051.3428955078125, 721.657958984375, 0.006488524843007326], [631.751220703125, 726.3646850585938, 0.004353105090558529], [986.1990356445312, 768.0, 0.0010249330662190914], [708.3622436523438, 768.0, 0.0012158347526565194], [992.3937377929688, 717.7719116210938, 0.0009193745208904147], [709.2664794921875, 742.3605346679688, 0.0007425729418173432], [922.103759765625, 768.0, 0.0007606119033880532], [778.46630859375, 768.0, 0.000696750998031348]]",person 1
10,person,1,pose,0.9540100574493409,515,46,1217,755,"[[849.7922973632812, 222.95948791503906, 0.9989103078842163], [913.3257446289062, 195.5143280029297, 0.9989299178123474], [826.0835571289062, 173.91908264160156, 0.9947614073753357], [980.6917114257812, 268.0857238769531, 0.977057933807373], [773.9901123046875, 213.98825073242188, 0.5661165714263916], [1085.897705078125, 468.52008056640625, 0.9940511584281921], [640.4219360351562, 466.18853759765625, 0.9958292841911316], [1150.38818359375, 758.3517456054688, 0.3582790493965149], [576.6171264648438, 758.2774047851562, 0.37382984161376953], [1052.716796875, 722.9423828125, 0.00656231539323926], [631.9279174804688, 727.078125, 0.004418153781443834], [986.4057006835938, 768.0, 0.0010441038757562637], [708.5734252929688, 768.0, 0.001235193107277155], [991.7672119140625, 717.7011108398438, 0.0009215823374688625], [708.8565063476562, 742.0599365234375, 0.0007389656384475529], [921.1332397460938, 768.0, 0.0007650086772628129], [778.4296875, 768.0, 0.0007022239151410758]]",person 1
