frame_idx,track_id,face_detected,face_conf,face_x1,face_y1,face_x2,face_y2,raw_gaze_detected,raw_inout,raw_x_gaze,raw_y_gaze,gaze_detected,inout,x_gaze,y_gaze,offscreen_direction,offscreen_yaw,offscreen_pitch
0,1,True,0.9961504936218262,526,273,578,358,True,0.9858013987541199,905,284,True,0.9859576423962911,905,284,,,
0,2,True,0.9958178400993347,906,271,961,350,True,0.9743457436561584,560,294,True,0.9732417066891988,559,294,,,
1,1,True,0.9962775111198425,526,273,578,358,True,0.9860418438911438,904,284,True,0.9858589917421341,904,283,,,
1,2,True,0.9960289001464844,906,270,961,349,True,0.9738689064979553,560,294,True,0.9729018658399582,559,294,,,
2,1,True,0.9964981079101562,526,273,578,358,True,0.9860296845436096,904,283,True,0.9857685685157775,904,283,,,
2,2,True,0.9964722394943237,907,270,961,349,True,0.9715104699134827,557,293,True,0.9719545722007752,559,294,,,
3,1,True,0.996791422367096,526,273,578,358,True,0.9855630397796631,904,283,True,0.9855745553970336,904,283,,,
3,2,True,0.996703565120697,907,269,962,349,True,0.9718823432922363,557,293,True,0.9706408500671386,558,293,,,
4,1,True,0.9967097043991089,526,273,578,358,True,0.9854068756103516,904,282,True,0.9854235291481018,904,283,,,
4,2,True,0.9970685839653015,907,268,962,349,True,0.968165397644043,558,293,True,0.969087541103363,557,293,,,
5,1,True,0.9966846108436584,526,273,578,358,True,0.9848313331604004,906,283,True,0.9851818919181824,905,284,,,
5,2,True,0.9969521760940552,907,268,963,348,True,0.9677771329879761,558,293,True,0.9681178331375122,558,293,,,
6,1,True,0.9967319965362549,526,273,578,358,True,0.9852867126464844,906,284,True,0.9847924709320068,906,284,,,
6,2,True,0.9972670078277588,907,268,963,348,True,0.9661023616790771,558,293,True,0.9670499563217163,558,293,,,
7,1,True,0.9966983199119568,526,273,578,358,True,0.9848214983940125,907,284,True,0.9846057415008544,907,284,,,
7,2,True,0.9973353743553162,907,268,963,348,True,0.9666619300842285,558,293,True,0.9672457814216614,558,293,,,
8,1,True,0.9967098236083984,526,273,578,358,True,0.9836159348487854,906,284,True,0.9845984816551209,908,284,,,
8,2,True,0.9974880218505859,907,268,963,349,True,0.9665429592132568,557,294,True,0.9675978541374206,558,293,,,
9,1,True,0.9966434240341187,526,273,578,358,True,0.9844732284545898,908,284,True,0.9842777490615845,908,284,,,
9,2,True,0.997530996799469,907,267,963,349,True,0.9691445231437683,558,293,True,0.9684141635894775,558,293,,,
10,1,True,0.9965347051620483,526,273,578,358,True,0.9847950339317322,910,284,True,0.9839702010154724,910,284,,,
10,2,True,0.9975307583808899,908,268,963,348,True,0.9695374965667725,557,294,True,0.9697648406028747,557,293,,,
11,1,True,0.9965509176254272,526,273,578,358,True,0.9836830496788025,910,284,True,0.9843208909034729,911,284,,,
11,2,True,0.9974933862686157,908,268,963,349,True,0.9701839089393616,557,294,True,0.9715833306312561,557,294,,,
12,1,True,0.9964564442634583,526,273,578,358,True,0.9832837581634521,911,284,True,0.9854248523712158,912,284,,,
12,2,True,0.9970819354057312,909,268,964,348,True,0.9734153151512146,555,294,True,0.9683467984199524,557,294,,,
13,1,True,0.9965553283691406,526,273,578,359,True,0.9853693842887878,917,284,True,0.9864754796028137,915,283,,,
13,2,True,0.996437668800354,913,268,967,348,True,0.9756354093551636,557,295,True,0.9653134942054749,557,294,,,
14,1,True,0.9965813755989075,526,272,578,359,True,0.9899930357933044,924,282,True,0.9878363251686096,921,283,,,
14,2,True,0.9975754618644714,916,267,973,349,True,0.9529618620872498,558,295,True,0.9540407538414002,557,295,,,
15,1,True,0.99661785364151,526,272,578,359,True,0.9900481700897217,925,280,True,0.9893875122070312,924,281,,,
15,2,True,0.9980949759483337,917,265,973,348,True,0.9543709754943848,557,296,True,0.9413946270942688,557,295,,,
16,1,True,0.9966405630111694,526,272,578,359,True,0.990487277507782,926,280,True,0.9906476616859436,925,280,,,
16,2,True,0.998221218585968,918,264,975,348,True,0.913820207118988,557,295,True,0.9263623714447021,557,295,,,
17,1,True,0.9968067407608032,526,272,578,359,True,0.9910396933555603,926,280,True,0.9910391330718994,925,280,,,
17,2,True,0.9979661703109741,919,264,975,346,True,0.9101846814155579,557,295,True,0.9174129009246826,557,295,,,
18,1,True,0.9968055486679077,526,272,578,359,True,0.9916701316833496,925,279,True,0.991338062286377,925,279,,,
18,2,True,0.9980676770210266,919,264,975,346,True,0.9004741311073303,557,295,True,0.9092040657997131,557,295,,,
19,1,True,0.9967374205589294,526,272,578,359,True,0.9919503927230835,927,279,True,0.9915522694587707,925,279,,,
19,2,True,0.9979857206344604,919,263,975,346,True,0.9082145094871521,557,295,True,0.9100947737693786,557,295,,,
20,1,True,0.9967300891876221,526,272,578,359,True,0.9915428161621094,926,278,True,0.9917093515396118,925,278,,,
20,2,True,0.9978112578392029,918,262,975,344,True,0.9133267998695374,555,295,True,0.9106649041175843,555,295,,,
21,1,True,0.9967378973960876,526,272,578,359,True,0.991558313369751,923,277,True,0.9919132590293884,923,277,,,
21,2,True,0.9971436858177185,919,262,975,342,True,0.9182737469673157,554,296,True,0.9141391277313232,555,295,,,
22,1,True,0.9967470169067383,526,272,578,359,True,0.9918251037597656,922,278,True,0.9920610904693603,923,277,,,
22,2,True,0.9970054030418396,918,262,974,342,True,0.9130353331565857,555,296,True,0.9224564671516419,555,297,,,
23,1,True,0.9965482354164124,526,272,578,359,True,0.9926896691322327,923,277,True,0.9922115087509156,923,277,,,
23,2,True,0.9969660639762878,918,262,974,342,True,0.9178452491760254,555,296,True,0.9296698451042176,555,297,,,
24,1,True,0.996539831161499,526,272,578,359,True,0.9926895499229431,923,277,True,0.9922568798065186,923,277,,,
24,2,True,0.9967880249023438,917,262,973,342,True,0.9498012065887451,555,298,True,0.9358428239822387,555,297,,,
25,1,True,0.9965601563453674,526,272,578,359,True,0.9922949075698853,923,277,True,0.9924018383026123,923,277,,,
25,2,True,0.9967319965362549,917,261,973,342,True,0.9493936896324158,555,298,True,0.9423620939254761,555,297,,,
26,1,True,0.996683657169342,526,272,578,360,True,0.9917851686477661,922,277,True,0.9923913836479187,923,277,,,
26,2,True,0.996357262134552,917,262,973,341,True,0.9491386413574219,555,298,True,0.9483642220497132,555,298,,,
27,1,True,0.9967674016952515,527,272,579,360,True,0.9925498962402344,923,278,True,0.9924595475196838,923,277,,,
27,2,True,0.996587872505188,917,260,973,342,True,0.9456316828727722,556,297,True,0.9427164554595947,555,297,,,
28,1,True,0.9968022108078003,527,272,579,360,True,0.9926373958587646,923,278,True,0.9926281929016113,923,278,,,
28,2,True,0.9966742992401123,917,260,973,341,True,0.9478558897972107,555,297,True,0.9366091251373291,556,297,,,
29,1,True,0.9967825412750244,527,272,579,360,True,0.9930303692817688,923,277,True,0.9929462790489196,923,277,,,
29,2,True,0.996988832950592,918,260,974,341,True,0.9215623736381531,555,297,True,0.9302364349365234,555,297,,,
30,1,True,0.9967485666275024,527,272,579,359,True,0.9931381344795227,923,277,True,0.9931433081626893,923,277,,,
30,2,True,0.9971342086791992,918,260,974,341,True,0.9188570380210876,555,297,True,0.9230185866355896,555,297,,,
31,1,True,0.9967387318611145,527,272,579,360,True,0.9933755993843079,923,277,True,0.9933213710784912,923,277,,,
31,2,True,0.9975115060806274,919,260,975,341,True,0.9172751903533936,553,297,True,0.9148435473442078,553,297,,,
32,1,True,0.9967166781425476,527,272,579,360,True,0.993535041809082,923,277,True,0.9934709668159485,923,277,,,
32,2,True,0.9974963068962097,919,260,975,341,True,0.909542441368103,553,297,True,0.9125119924545289,553,297,,,
33,1,True,0.9967241883277893,527,272,579,359,True,0.9935277104377747,924,277,True,0.9936081171035767,924,277,,,
33,2,True,0.9977729916572571,920,260,976,341,True,0.9069806933403015,553,297,True,0.9101941466331482,553,297,,,
34,1,True,0.9966013431549072,527,272,579,360,True,0.9937783479690552,924,277,True,0.9937234163284302,924,277,,,
34,2,True,0.9978976249694824,919,259,975,342,True,0.9099045991897583,553,297,True,0.9088881492614747,553,297,,,
35,1,True,0.9966140389442444,527,272,579,360,True,0.9938238859176636,924,277,True,0.9937900185585022,923,276,,,
35,2,True,0.9978991746902466,919,259,975,342,True,0.9072678089141846,553,297,True,0.9082010746002197,553,297,,,
36,1,True,0.9967080354690552,527,272,579,360,True,0.9939520955085754,923,276,True,0.9938286304473877,924,276,,,
36,2,True,0.9978407621383667,919,259,975,342,True,0.9107452034950256,553,297,True,0.9078058719635009,553,297,,,
37,1,True,0.9966223239898682,527,272,579,360,True,0.9938680529594421,924,276,True,0.9938501715660095,924,276,,,
37,2,True,0.9977865219116211,920,259,976,342,True,0.9061070680618286,553,297,True,0.9085892677307129,553,297,,,
38,1,True,0.9965739250183105,527,272,579,360,True,0.9937207698822021,924,276,True,0.9938578724861145,926,276,,,
38,2,True,0.9975758194923401,921,259,976,341,True,0.9050046801567078,553,297,True,0.9122428297996521,553,297,,,
39,1,True,0.9965039491653442,528,272,579,360,True,0.9938860535621643,927,276,True,0.993815016746521,927,276,,,
39,2,True,0.9971626400947571,923,260,978,340,True,0.9138215780258179,553,297,True,0.9149317026138306,553,297,,,
40,1,True,0.9964531660079956,527,272,579,360,True,0.9938623905181885,931,276,True,0.9935905933380127,931,276,,,
40,2,True,0.9973834156990051,925,259,981,340,True,0.9255356192588806,553,297,True,0.918014919757843,553,297,,,
41,1,True,0.9964565634727478,528,272,579,360,True,0.9937378168106079,931,276,True,0.9931886911392211,931,276,,,
41,2,True,0.997177004814148,926,258,982,338,True,0.924189567565918,555,297,True,0.9224392652511597,553,297,,,
42,1,True,0.9963968396186829,528,272,579,360,True,0.9927459359169006,933,276,True,0.9926268696784973,932,275,,,
42,2,True,0.9972099661827087,926,258,983,339,True,0.9215231537818909,553,297,True,0.9269818544387818,553,297,,,
43,1,True,0.9964369535446167,528,272,579,360,True,0.9917112588882446,932,275,True,0.9920318722724915,932,275,,,
43,2,True,0.9976319074630737,928,258,984,338,True,0.927126407623291,555,297,True,0.9316339492797852,555,297,,,
44,1,True,0.9964656829833984,528,272,579,360,True,0.9910769462585449,934,277,True,0.9913668870925904,935,276,,,
44,2,True,0.9978334307670593,929,256,985,339,True,0.9365345239639282,555,297,True,0.938916552066803,555,297,,,
45,1,True,0.996435284614563,528,272,579,360,True,0.9908874034881592,935,276,True,0.9910665631294251,936,276,,,
45,2,True,0.9973552227020264,932,256,989,338,True,0.9487960934638977,555,297,True,0.9471840858459473,555,297,,,
46,1,True,0.9964302182197571,527,272,579,360,True,0.9904128909111023,941,276,True,0.9908815860748291,938,276,,,
46,2,True,0.9971367120742798,934,258,989,338,True,0.9606025815010071,555,297,True,0.9534578680992126,555,297,,,
47,1,True,0.9964488744735718,527,272,579,360,True,0.9912443161010742,941,275,True,0.9908100008964539,941,275,,,
47,2,True,0.9973418116569519,934,256,991,338,True,0.9628608226776123,555,297,True,0.9584132194519043,555,297,,,
48,1,True,0.996448278427124,527,272,579,360,True,0.9907863736152649,940,275,True,0.990796172618866,941,275,,,
48,2,True,0.9974620342254639,935,257,991,339,True,0.9584953188896179,555,297,True,0.9616012692451477,555,297,,,
49,1,True,0.9963711500167847,527,272,579,360,True,0.9907190203666687,941,275,True,0.9909794092178345,941,275,,,
49,2,True,0.9975011944770813,935,257,991,339,True,0.9613112807273865,555,297,True,0.9621587872505188,555,297,,,
50,1,True,0.996336817741394,528,272,579,360,True,0.9908182621002197,941,275,True,0.9908871531486512,941,275,,,
50,2,True,0.9974562525749207,935,257,991,339,True,0.9647363424301147,555,297,True,0.9620959162712097,555,297,,,
51,1,True,0.9964339733123779,527,272,579,360,True,0.9913290739059448,940,275,True,0.9908941745758056,940,275,,,
51,2,True,0.9974321722984314,935,257,991,339,True,0.9633901715278625,555,297,True,0.9627455353736878,555,297,,,
52,1,True,0.9963829517364502,527,272,579,360,True,0.9907830357551575,940,276,True,0.9909177422523499,940,275,,,
52,2,True,0.9972917437553406,934,256,991,338,True,0.9625464677810669,553,298,True,0.962629497051239,555,297,,,
53,1,True,0.9964346885681152,527,272,579,360,True,0.9908214807510376,940,275,True,0.9908159971237183,940,275,,,
53,2,True,0.9971991777420044,934,258,989,338,True,0.9617434144020081,553,298,True,0.9624353528022767,553,298,,,
54,1,True,0.9963700771331787,527,272,579,360,True,0.9908368587493896,940,275,True,0.9906712889671325,940,275,,,
54,2,True,0.997312068939209,934,258,989,338,True,0.9607310891151428,555,297,True,0.9622291088104248,553,298,,,
55,1,True,0.9963582158088684,527,272,579,360,True,0.9903095364570618,940,275,True,0.9906812071800232,940,275,,,
55,2,True,0.9973255395889282,934,258,989,338,True,0.9637656211853027,553,298,True,0.9622811436653137,553,298,,,
56,1,True,0.9964131712913513,527,272,579,360,True,0.9906055331230164,940,275,True,0.9905794501304627,940,275,,,
56,2,True,0.9970743656158447,933,258,989,338,True,0.9623589515686035,553,298,True,0.9627423524856568,553,298,,,
57,1,True,0.9965039491653442,527,272,579,360,True,0.9908326268196106,940,275,True,0.9905137419700623,940,275,,,
57,2,True,0.9971492886543274,933,258,989,338,True,0.9628066420555115,553,298,True,0.9637352705001831,553,298,,,
58,1,True,0.9964812994003296,527,272,579,360,True,0.9903126955032349,940,274,True,0.9904781579971313,940,274,,,
58,2,True,0.9972051978111267,933,258,989,338,True,0.9640494585037231,553,298,True,0.9647141695022583,553,298,,,
59,1,True,0.9964826107025146,527,272,579,360,True,0.9905083179473877,940,274,True,0.9905111908912658,940,274,,,
59,2,True,0.9970943927764893,934,258,989,338,True,0.9656956791877747,555,297,True,0.9666376113891602,553,298,,,
60,1,True,0.9965164661407471,527,272,579,360,True,0.9901316165924072,941,274,True,0.9905555129051209,941,274,,,
60,2,True,0.996969997882843,934,257,989,338,True,0.9686601161956787,553,297,True,0.9685671925544739,553,298,,,
61,1,True,0.9965031147003174,527,272,579,360,True,0.990770697593689,941,274,True,0.9909656882286072,941,273,,,
61,2,True,0.9970171451568604,935,257,989,338,True,0.9719761610031128,553,298,True,0.9698287367820739,553,297,,,
62,1,True,0.9965505599975586,527,272,578,360,True,0.9910542368888855,940,275,True,0.9913566946983338,939,273,,,
62,2,True,0.9970092177391052,935,256,989,338,True,0.9724545478820801,553,297,True,0.970380175113678,553,297,,,
63,1,True,0.9961487054824829,526,273,578,359,True,0.9923635721206665,938,274,True,0.9924085736274719,937,274,,,
63,2,True,0.9971550703048706,936,256,990,338,True,0.9703571796417236,553,297,True,0.9696895003318786,552,297,,,
64,1,True,0.9959850311279297,525,274,577,359,True,0.9924633502960205,934,273,True,0.9934571623802185,937,275,,,
64,2,True,0.997102677822113,936,257,991,338,True,0.9684528708457947,551,296,True,0.9682657241821289,551,297,,,
65,1,True,0.9952986836433411,524,274,576,358,True,0.9953910112380981,936,275,True,0.9946983098983765,936,275,,,
65,2,True,0.9970543384552002,936,257,991,338,True,0.9652067422866821,551,296,True,0.9670151472091675,551,294,,,
66,1,True,0.9954812526702881,522,274,574,356,True,0.9960136413574219,936,275,True,0.9954152941703797,936,275,,,
66,2,True,0.9972321391105652,936,257,991,338,True,0.964857280254364,551,293,True,0.9673664450645447,547,292,,,
67,1,True,0.9951313734054565,518,270,570,355,True,0.9972599744796753,938,276,True,0.9959887146949769,939,274,,,
67,2,True,0.9972395896911621,936,257,991,338,True,0.966201663017273,545,291,True,0.9685772299766541,544,291,,,
68,1,True,0.9911762475967407,516,269,566,352,True,0.9959484934806824,940,274,True,0.9961743474006652,939,274,,,
68,2,True,0.9971267580986023,935,257,990,338,True,0.9721136689186096,539,287,True,0.9703126072883606,538,288,,,
69,1,True,0.992629885673523,508,266,562,351,True,0.9953304529190063,940,274,True,0.9963446140289307,939,274,,,
69,2,True,0.9967319965362549,935,257,989,338,True,0.9745067954063416,533,286,True,0.9707706689834594,531,286,,,
70,1,True,0.996110737323761,505,262,557,350,True,0.9963191747665405,938,274,True,0.9963210940361023,939,274,,,
70,2,True,0.9964810609817505,935,257,989,338,True,0.9738836288452148,523,285,True,0.9696677088737488,523,284,,,
71,1,True,0.9949179887771606,498,260,552,347,True,0.9968649744987488,939,273,True,0.9961040616035461,939,274,,,
71,2,True,0.9963887929916382,935,258,989,338,True,0.9671475887298584,520,283,True,0.967035961151123,520,282,,,
72,1,True,0.9962002635002136,492,257,545,344,True,0.9971423745155334,938,274,True,0.9961873769760132,937,275,,,
72,2,True,0.9960447549819946,933,257,989,338,True,0.9606868624687195,515,280,True,0.9646538853645324,516,280,,,
73,1,True,0.9961691498756409,484,254,538,342,True,0.9948633313179016,936,276,True,0.9963079571723938,936,276,,,
73,2,True,0.9959632158279419,933,257,989,338,True,0.958954930305481,513,278,True,0.9614099383354187,512,279,,,
74,1,True,0.9963746666908264,480,254,533,341,True,0.9957470297813416,936,276,True,0.9961831092834472,936,276,,,
74,2,True,0.9956877827644348,933,258,988,338,True,0.9625964164733887,511,276,True,0.9618268489837647,509,277,,,
75,1,True,0.9956232905387878,474,255,528,338,True,0.9969220757484436,936,276,True,0.9955923676490783,936,276,,,
75,2,True,0.9957109689712524,933,258,988,337,True,0.957663893699646,506,275,True,0.9627061486244202,504,277,,,
76,1,True,0.9965460896492004,468,252,523,338,True,0.9962407350540161,936,276,True,0.9955576181411743,936,275,,,
76,2,True,0.9958521127700806,932,258,986,338,True,0.9692321419715881,497,278,True,0.9636634111404419,498,277,,,
77,1,True,0.9962249994277954,464,252,518,336,True,0.994188666343689,936,275,True,0.9956650853157043,936,275,,,
77,2,True,0.9961284399032593,931,258,985,338,True,0.9650833606719971,490,278,True,0.9622679114341736,493,276,,,
78,1,True,0.9967010617256165,462,250,514,336,True,0.9946895837783813,937,273,True,0.995605731010437,937,274,,,
78,2,True,0.9964641332626343,931,257,985,338,True,0.9637412428855896,488,274,True,0.9635113716125489,488,276,,,
79,1,True,0.9958105087280273,459,250,512,334,True,0.9962843656539917,937,273,True,0.9957776427268982,936,273,,,
79,2,True,0.996552586555481,931,256,985,338,True,0.9556189179420471,484,275,True,0.960985267162323,483,275,,,
80,1,True,0.994818389415741,456,251,509,334,True,0.9966253042221069,936,273,True,0.9958471179008483,936,273,,,
80,2,True,0.9967988729476929,931,256,985,338,True,0.9638811945915222,480,275,True,0.9590686202049256,481,274,,,
81,1,True,0.995175838470459,452,252,504,334,True,0.997100293636322,936,273,True,0.9958141922950745,936,273,,,
81,2,True,0.9968949556350708,931,256,985,338,True,0.956601619720459,479,275,True,0.9580999851226807,480,273,,,
82,1,True,0.9948006868362427,448,250,502,334,True,0.9945360422134399,938,273,True,0.995486855506897,937,273,,,
82,2,True,0.9969570636749268,931,256,985,338,True,0.9555001258850098,476,273,True,0.9583718299865722,475,273,,,
83,1,True,0.9954817295074463,444,251,497,334,True,0.9945249557495117,937,273,True,0.9954198360443115,937,273,,,
83,2,True,0.9971246123313904,931,256,985,338,True,0.9588980674743652,471,271,True,0.9581176400184631,472,272,,,
84,1,True,0.9966333508491516,441,250,494,336,True,0.9946476817131042,937,273,True,0.9952300071716309,937,273,,,
84,2,True,0.9971640706062317,930,256,985,338,True,0.9569781422615051,470,271,True,0.9597937226295471,469,272,,,
85,1,True,0.9962207674980164,437,251,490,335,True,0.9962902069091797,935,272,True,0.9955637812614441,936,273,,,
85,2,True,0.9973307847976685,930,256,985,338,True,0.9626102447509766,468,273,True,0.9617022037506103,466,274,,,
86,1,True,0.9954197406768799,432,252,485,336,True,0.9961511492729187,936,273,True,0.9956713199615479,936,272,,,
86,2,True,0.9973642230033875,930,256,984,338,True,0.9649820327758789,464,273,True,0.9646469831466675,463,274,,,
87,1,True,0.9961756467819214,427,252,481,337,True,0.9962049126625061,936,272,True,0.9956487059593201,936,272,,,
87,2,True,0.997194766998291,930,256,984,338,True,0.9650425314903259,456,275,True,0.9674831509590149,454,275,,,
