frame_idx,cls,track_id,source,conf,x1,y1,x2,y2,pose_keypoints,label
0,person,1,pose,0.8939520915349325,360,255,647,751,"[[572.5282592773438, 320.9940490722656, 0.9796104431152344], [570.041259765625, 307.8045349121094, 0.1308310478925705], [562.48095703125, 308.7554016113281, 0.9865761995315552], [542.1748046875, 312.3374938964844, 0.001659959671087563], [522.8680419921875, 313.9432373046875, 0.9914803504943848], [506.71258544921875, 353.5187683105469, 0.9664671421051025], [471.94720458984375, 360.7471618652344, 0.9944872260093689], [532.7976684570312, 426.5699157714844, 0.959872841835022], [507.8230895996094, 455.9734802246094, 0.994652509689331], [588.024658203125, 432.8982238769531, 0.9828831553459167], [599.5587768554688, 449.15374755859375, 0.9953115582466125], [476.2501525878906, 536.5874633789062, 0.9690327048301697], [436.66552734375, 550.9113159179688, 0.9885727167129517], [614.155517578125, 559.6659545898438, 0.9489033222198486], [597.341796875, 582.2072143554688, 0.9846531748771667], [545.32080078125, 699.9420166015625, 0.7581817507743835], [536.1799926757812, 713.6693115234375, 0.8592374324798584]]",person 1
0,person,2,pose,0.7125727335611979,772,245,1046,745,"[[913.9445190429688, 316.0729675292969, 0.9901432991027832], [928.2572021484375, 302.9013366699219, 0.9949105381965637], [912.7982177734375, 301.9769287109375, 0.5522613525390625], [969.3071899414062, 303.0137939453125, 0.9909323453903198], [923.681640625, 299.502197265625, 0.004396101925522089], [1007.6370849609375, 366.35565185546875, 0.9905611872673035], [939.0296020507812, 357.9742431640625, 0.9853360056877136], [979.7155151367188, 466.0013122558594, 0.990358293056488], [909.2342529296875, 436.8675842285156, 0.9563730359077454], [874.7144775390625, 461.5666809082031, 0.9901172518730164], [860.9352416992188, 453.0311279296875, 0.9188330769538879], [973.42041015625, 539.0525512695312, 0.9571481347084045], [925.1139526367188, 522.292236328125, 0.9484227895736694], [816.312255859375, 556.3953857421875, 0.9307442307472229], [796.5032958984375, 537.2000732421875, 0.8804676532745361], [853.5338134765625, 708.06591796875, 0.8402999043464661], [841.878173828125, 698.237060546875, 0.8568575382232666]]",person 2
1,person,1,pose,0.8946126848459244,359,255,647,750,"[[572.4344482421875, 320.98114013671875, 0.9798405766487122], [569.93994140625, 307.8019714355469, 0.13308726251125336], [562.2655029296875, 308.6945495605469, 0.9865128993988037], [542.2879638671875, 312.5031433105469, 0.0016474989242851734], [522.5804443359375, 314.0064697265625, 0.9911743402481079], [507.1986999511719, 353.8671875, 0.9665670394897461], [471.7433776855469, 360.2763977050781, 0.994316041469574], [533.2832641601562, 426.148681640625, 0.9623042345046997], [507.8291320800781, 455.88677978515625, 0.994634747505188], [588.3177490234375, 433.194091796875, 0.9839004278182983], [599.6027221679688, 449.2339782714844, 0.9952477812767029], [476.6979675292969, 536.62890625, 0.9691397547721863], [436.8174743652344, 550.6715698242188, 0.9884457588195801], [614.163818359375, 559.9453125, 0.9498285055160522], [597.4335327148438, 582.1859741210938, 0.9848035573959351], [545.5860595703125, 700.1275634765625, 0.7682058215141296], [535.8889770507812, 713.1473388671875, 0.8660393953323364]]",person 1
1,person,2,pose,0.7147666066884995,772,245,1047,745,"[[914.4213256835938, 315.8641662597656, 0.9902715086936951], [928.85986328125, 302.72882080078125, 0.9948881268501282], [913.3935546875, 301.868896484375, 0.5503020286560059], [969.8057250976562, 303.2321472167969, 0.9907039999961853], [924.3065185546875, 299.7586364746094, 0.004245474003255367], [1007.4891967773438, 366.1748352050781, 0.9904305338859558], [939.1376953125, 358.09619140625, 0.9849882125854492], [979.5375366210938, 465.978271484375, 0.9903680086135864], [908.9055786132812, 437.2130126953125, 0.9545257687568665], [874.2725830078125, 461.4372253417969, 0.9901425838470459], [860.1309814453125, 453.0240478515625, 0.9159712791442871], [973.2454833984375, 538.97412109375, 0.9577031135559082], [925.1637573242188, 522.4312744140625, 0.9484952688217163], [815.9461059570312, 556.5040893554688, 0.9320880770683289], [796.3497314453125, 537.929931640625, 0.8817594647407532], [853.303955078125, 708.33544921875, 0.842795193195343], [841.9083862304688, 698.686767578125, 0.8585179448127747]]",person 2
2,person,1,pose,0.8944717168807983,360,255,647,750,"[[572.4019775390625, 321.1106262207031, 0.9799683094024658], [569.9193115234375, 307.8271484375, 0.13410541415214539], [562.2257080078125, 308.7613525390625, 0.9864513874053955], [542.4505004882812, 312.47698974609375, 0.0016373463440686464], [522.5734252929688, 314.0618896484375, 0.9911148548126221], [507.8708190917969, 354.05029296875, 0.9675036668777466], [471.1176452636719, 360.8081359863281, 0.994210958480835], [534.5548706054688, 426.592041015625, 0.9621168971061707], [506.9187316894531, 455.84344482421875, 0.994347870349884], [588.698974609375, 433.5808410644531, 0.9831123948097229], [599.2159423828125, 449.2994079589844, 0.9951242804527283], [477.69879150390625, 535.7307739257812, 0.969395637512207], [436.7380065917969, 549.9412841796875, 0.9882750511169434], [614.2950439453125, 559.918701171875, 0.9498092532157898], [597.1339111328125, 581.81787109375, 0.984512984752655], [546.556640625, 700.382080078125, 0.7599208354949951], [536.8275146484375, 713.3479614257812, 0.8596441745758057]]",person 1
2,person,2,pose,0.719684112071991,772,245,1047,746,"[[914.6201171875, 315.5264892578125, 0.9903505444526672], [929.1192016601562, 302.4591064453125, 0.9949455857276917], [913.7238159179688, 301.5589294433594, 0.5513964295387268], [970.2828369140625, 303.36114501953125, 0.9906215667724609], [924.7388916015625, 299.7567138671875, 0.004161887802183628], [1007.7036743164062, 366.198486328125, 0.9901970624923706], [939.488037109375, 358.5148010253906, 0.9856482744216919], [979.3699340820312, 465.7725524902344, 0.9905293583869934], [907.9861450195312, 436.4007263183594, 0.9614790081977844], [874.1278076171875, 461.3769226074219, 0.9899623990058899], [859.1314086914062, 452.7311096191406, 0.9273313879966736], [974.7212524414062, 538.7952880859375, 0.956139087677002], [926.492919921875, 522.4523315429688, 0.9486551284790039], [816.4110717773438, 556.4647216796875, 0.9306033253669739], [796.4991455078125, 538.185302734375, 0.8815410733222961], [853.7739868164062, 707.9070434570312, 0.8461536169052124], [841.7523193359375, 698.5432739257812, 0.8615957498550415]]",person 2
3,person,1,pose,0.8945010542869568,360,255,647,750,"[[572.4403686523438, 321.1139831542969, 0.9800686836242676], [569.9578247070312, 307.82159423828125, 0.13280653953552246], [562.24853515625, 308.7422790527344, 0.9868007898330688], [542.3526611328125, 312.5200500488281, 0.001602588570676744], [522.5139770507812, 314.0736083984375, 0.9914575219154358], [507.5260925292969, 353.82232666015625, 0.9668341875076294], [471.0329284667969, 360.7357482910156, 0.9942471981048584], [533.2625732421875, 426.96417236328125, 0.958516538143158], [506.7892150878906, 455.1554870605469, 0.99434494972229], [588.0148315429688, 433.1185302734375, 0.9816378951072693], [599.2975463867188, 449.0279235839844, 0.995179295539856], [477.6050109863281, 535.159423828125, 0.9695947766304016], [436.4843444824219, 549.4688720703125, 0.9883643388748169], [614.8688354492188, 559.8865966796875, 0.9506415128707886], [597.0948486328125, 581.9097900390625, 0.9843602776527405], [546.1292724609375, 699.8541259765625, 0.7691996097564697], [535.7911376953125, 713.0025024414062, 0.8608158230781555]]",person 1
3,person,2,pose,0.7299286365509033,771,245,1047,746,"[[914.70556640625, 315.3023376464844, 0.9904446005821228], [929.2468872070312, 302.36309814453125, 0.9949347376823425], [913.9938354492188, 301.33648681640625, 0.5496522784233093], [970.3614501953125, 303.6520080566406, 0.9905429482460022], [925.2091064453125, 299.6916809082031, 0.00409754877910018], [1007.4337158203125, 366.2331848144531, 0.9902611374855042], [939.556640625, 358.1270751953125, 0.9856607913970947], [978.7406005859375, 465.20782470703125, 0.9906310439109802], [907.7491455078125, 435.5340881347656, 0.9642353057861328], [874.1633911132812, 461.3617248535156, 0.9895623326301575], [859.0626220703125, 452.6993408203125, 0.9326491355895996], [973.3368530273438, 537.8687133789062, 0.9560301303863525], [925.7166137695312, 521.4451293945312, 0.9476720094680786], [815.5543823242188, 556.6015014648438, 0.9342444539070129], [796.39453125, 538.263671875, 0.8829019069671631], [853.1546630859375, 707.3533325195312, 0.8595293760299683], [841.146728515625, 697.6962280273438, 0.8679611086845398]]",person 2
4,person,1,pose,0.8942214012145996,361,255,647,750,"[[572.464599609375, 321.0834045410156, 0.9798772931098938], [569.9266357421875, 307.7801513671875, 0.13085588812828064], [562.2353515625, 308.7305603027344, 0.9867849946022034], [542.2176513671875, 312.53485107421875, 0.0015855618985369802], [522.4715576171875, 314.148681640625, 0.9916566610336304], [507.4884948730469, 353.7610778808594, 0.9662511348724365], [471.004638671875, 360.50006103515625, 0.994166374206543], [532.9364013671875, 427.2232360839844, 0.9573169946670532], [506.7852478027344, 455.2378845214844, 0.9941412806510925], [588.37744140625, 433.40399169921875, 0.9808343052864075], [599.1153564453125, 448.83642578125, 0.9950403571128845], [478.551513671875, 535.08251953125, 0.9678540825843811], [438.1979675292969, 549.3881225585938, 0.9877726435661316], [614.8392944335938, 559.6665649414062, 0.9482898712158203], [597.6171264648438, 581.6593627929688, 0.9837628602981567], [545.6934204101562, 699.422607421875, 0.7675476670265198], [535.83642578125, 712.4735717773438, 0.8610389232635498]]",person 1
4,person,2,pose,0.7392520785331727,771,245,1047,747,"[[914.9330444335938, 315.2196960449219, 0.9903910160064697], [929.5404052734375, 302.210693359375, 0.9948897361755371], [914.2263793945312, 301.1237487792969, 0.5500497817993164], [970.5985107421875, 303.6158447265625, 0.990574300289154], [925.4505615234375, 299.48248291015625, 0.004209388978779316], [1007.7620239257812, 366.22967529296875, 0.9902458190917969], [939.837158203125, 357.6541748046875, 0.9856662154197693], [978.9349365234375, 465.4302062988281, 0.9904828071594238], [908.107421875, 435.3449401855469, 0.963817298412323], [874.3641357421875, 461.3731689453125, 0.9893530607223511], [859.3641357421875, 452.8726501464844, 0.932543158531189], [973.0859375, 538.4793090820312, 0.9556092023849487], [925.5950317382812, 521.9716796875, 0.9478381276130676], [815.28759765625, 556.8831176757812, 0.9352713823318481], [796.2988891601562, 539.3095703125, 0.887250542640686], [852.5501708984375, 706.9000244140625, 0.8615894317626953], [840.6731567382812, 697.6612548828125, 0.8720422983169556]]",person 2
