frame_idx,cls,track_id,object_detected,source,conf,x1,y1,x2,y2,pose_keypoints,label
0,person,1,True,pose,0.9447119832038879,787,90,1091,739,"[[952.5919799804688, 161.28848266601562, 0.9768665432929993], [963.9985961914062, 145.2819366455078, 0.9591449499130249], [955.93603515625, 145.6385955810547, 0.22140885889530182], [1005.1500854492188, 151.73338317871094, 0.906676173210144], [982.101318359375, 150.23155212402344, 0.0025777085684239864], [1044.62451171875, 247.81570434570312, 0.9941906929016113], [1002.6918334960938, 240.26576232910156, 0.985620379447937], [972.274169921875, 368.6611022949219, 0.9947143197059631], [939.8856811523438, 330.4407043457031, 0.9884172081947327], [863.58349609375, 353.881591796875, 0.9852845072746277], [853.9173583984375, 345.6069641113281, 0.9799847602844238], [1019.0633544921875, 485.8330383300781, 0.9858231544494629], [985.8770751953125, 467.7705078125, 0.9815024733543396], [818.3609008789062, 510.37579345703125, 0.9573531746864319], [814.6995849609375, 478.8681640625, 0.9003381133079529], [897.709228515625, 673.7119140625, 0.9859845638275146], [904.6193237304688, 649.1538696289062, 0.9837300181388855]]",person 1
0,person,2,True,pose,0.9130287369092306,568,111,785,353,"[[698.7503662109375, 179.99008178710938, 0.9976801872253418], [708.0223388671875, 166.2239990234375, 0.992573618888855], [681.9131469726562, 168.6812744140625, 0.99955815076828], [718.7342529296875, 171.12921142578125, 0.3861771523952484], [651.7330322265625, 176.64083862304688, 0.9971702694892883], [747.0633544921875, 231.63162231445312, 0.9972238540649414], [617.6563720703125, 231.67604064941406, 0.9978189468383789], [770.0921020507812, 313.9838562011719, 0.9858220219612122], [584.6812133789062, 312.59478759765625, 0.9866487383842468], [731.0693969726562, 326.8089294433594, 0.9794426560401917], [632.4968872070312, 328.1977844238281, 0.9832316637039185], [722.6487426757812, 384.9337158203125, 0.861886203289032], [635.7221069335938, 385.2220764160156, 0.8562191724777222], [740.6297607421875, 437.4149475097656, 0.045948728919029236], [623.7005615234375, 434.2643127441406, 0.03545984998345375], [724.0218505859375, 466.540283203125, 0.0036265787202864885], [635.9453735351562, 469.6528015136719, 0.002585669746622443]]",person 2
0,person,3,True,pose,0.8559409578641256,260,101,607,753,"[[406.6142272949219, 185.6300811767578, 0.9808427095413208], [401.97406005859375, 169.75918579101562, 0.22041118144989014], [394.8249206542969, 172.46592712402344, 0.9788947105407715], [374.5335693359375, 171.9539031982422, 0.0018705897964537144], [350.76666259765625, 178.3630828857422, 0.9479162096977234], [354.2325134277344, 251.3284149169922, 0.9820742011070251], [316.01373291015625, 268.47857666015625, 0.9893633723258972], [437.7187194824219, 340.418701171875, 0.9954955577850342], [410.48516845703125, 386.5897521972656, 0.9978646636009216], [533.3016357421875, 350.9419250488281, 0.9932234287261963], [529.36279296875, 369.0072021484375, 0.9925627112388611], [379.372314453125, 476.2541809082031, 0.9656561613082886], [352.94854736328125, 500.81494140625, 0.9802725911140442], [554.5926513671875, 489.1963195800781, 0.9233085513114929], [556.155029296875, 525.1257934570312, 0.9767286777496338], [509.57659912109375, 671.6416625976562, 0.8367177844047546], [539.5186157226562, 716.7937622070312, 0.9060285687446594]]",person 3
1,person,1,True,pose,0.9446801245212555,787,90,1091,739,"[[952.741943359375, 161.31015014648438, 0.977830708026886], [964.3338623046875, 145.29769897460938, 0.960820734500885], [956.0540161132812, 145.57879638671875, 0.2306331992149353], [1005.7881469726562, 151.74388122558594, 0.9068807363510132], [981.9483642578125, 150.05291748046875, 0.002595230471342802], [1044.749755859375, 248.08908081054688, 0.9942325949668884], [1002.8243408203125, 240.51535034179688, 0.9857099056243896], [972.2147216796875, 368.85589599609375, 0.9947332143783569], [939.52099609375, 330.5935363769531, 0.9885363578796387], [863.1900634765625, 353.89801025390625, 0.9854006171226501], [853.5154418945312, 345.6349182128906, 0.9800870418548584], [1019.0086669921875, 486.1076354980469, 0.9859632849693298], [985.739990234375, 467.9081726074219, 0.9816102981567383], [818.2669067382812, 511.0137939453125, 0.9583215117454529], [815.1243286132812, 479.16387939453125, 0.9017989039421082], [897.9740600585938, 673.5546264648438, 0.9858582615852356], [903.9384765625, 649.2306518554688, 0.9834436178207397]]",person 1
1,person,2,True,pose,0.9128707498311996,568,111,785,353,"[[698.636474609375, 180.0319366455078, 0.9976629018783569], [707.9629516601562, 166.27418518066406, 0.9924376606941223], [681.79833984375, 168.67274475097656, 0.9995653033256531], [718.7146606445312, 171.17274475097656, 0.37866532802581787], [651.4537353515625, 176.55355834960938, 0.9972508549690247], [747.0565185546875, 231.69171142578125, 0.9972409009933472], [617.517333984375, 231.78773498535156, 0.9978088736534119], [770.0921020507812, 314.0138854980469, 0.9858022332191467], [584.6671142578125, 312.5718994140625, 0.9864935874938965], [731.0159912109375, 326.718017578125, 0.9792253971099854], [632.7424926757812, 328.32568359375, 0.9829990267753601], [722.7114868164062, 385.1942443847656, 0.8610685467720032], [635.7044067382812, 385.4783020019531, 0.8548310995101929], [740.5469970703125, 437.4753723144531, 0.04591777175664902], [623.7693481445312, 434.31317138671875, 0.03525480255484581], [724.0311889648438, 466.5458984375, 0.0036601736210286617], [636.0938720703125, 469.6348876953125, 0.0025951231364160776]]",person 2
1,person,3,True,pose,0.8588516414165497,260,101,607,753,"[[406.5853271484375, 185.69102478027344, 0.9815888404846191], [402.0107116699219, 169.80548095703125, 0.22749744355678558], [394.6477355957031, 172.49085998535156, 0.9792696833610535], [374.76824951171875, 171.9383087158203, 0.001790823065675795], [350.1705322265625, 178.33782958984375, 0.9446015954017639], [353.91815185546875, 251.2140350341797, 0.9818477630615234], [315.9547424316406, 268.4949035644531, 0.9889237284660339], [437.3224182128906, 340.19512939453125, 0.9954618811607361], [410.53778076171875, 386.6025390625, 0.9978298544883728], [533.1392822265625, 350.6993713378906, 0.9933331608772278], [529.8892822265625, 368.7170104980469, 0.9926389455795288], [379.7163391113281, 475.8048400878906, 0.9666300415992737], [353.2856140136719, 500.6282043457031, 0.9802512526512146], [555.9979248046875, 489.1018371582031, 0.9207448363304138], [556.3062744140625, 525.7723999023438, 0.9745352268218994], [508.4111328125, 669.348388671875, 0.8323320746421814], [539.2976684570312, 714.4320678710938, 0.8982359766960144]]",person 3
2,person,1,True,pose,0.9448605895042419,787,90,1091,739,"[[952.88427734375, 161.2909393310547, 0.9778569936752319], [964.6680908203125, 145.39292907714844, 0.9606881737709045], [956.067626953125, 145.70352172851562, 0.23490068316459656], [1006.4517211914062, 151.72378540039062, 0.9056116938591003], [981.5350341796875, 150.07968139648438, 0.002647494664415717], [1044.820556640625, 248.23123168945312, 0.9942213892936707], [1002.677490234375, 240.78890991210938, 0.9858763813972473], [972.2049560546875, 368.8152160644531, 0.9947092533111572], [939.822998046875, 330.412841796875, 0.9883714318275452], [863.666015625, 353.81585693359375, 0.9851866364479065], [853.3311157226562, 345.9554443359375, 0.9789320826530457], [1019.124755859375, 486.0798034667969, 0.9860364198684692], [985.9407348632812, 467.96783447265625, 0.9817357659339905], [818.2763671875, 511.0843811035156, 0.9586076736450195], [815.2152709960938, 479.5077209472656, 0.9017353057861328], [898.1488647460938, 673.7085571289062, 0.9861641526222229], [904.587158203125, 649.3078002929688, 0.9836739301681519]]",person 1
2,person,2,True,pose,0.9124585747718811,568,111,785,353,"[[698.65087890625, 180.14715576171875, 0.9977317452430725], [707.9893188476562, 166.32138061523438, 0.9925251007080078], [681.7301635742188, 168.7367401123047, 0.9995885491371155], [718.7161254882812, 171.1981658935547, 0.3699641823768616], [651.2251586914062, 176.61561584472656, 0.9973788261413574], [747.0274658203125, 231.68704223632812, 0.9972172975540161], [617.4288330078125, 231.71612548828125, 0.9977872371673584], [770.047119140625, 314.123046875, 0.9856143593788147], [584.3660888671875, 312.4703369140625, 0.9865955114364624], [731.0326538085938, 326.6936340332031, 0.9793302416801453], [632.58544921875, 328.35205078125, 0.9835758805274963], [722.723876953125, 385.52056884765625, 0.8597652912139893], [635.665771484375, 385.7763366699219, 0.8538566827774048], [740.62548828125, 437.5546569824219, 0.04561743140220642], [623.63232421875, 434.274658203125, 0.035181138664484024], [724.0607299804688, 466.36376953125, 0.003634826047345996], [636.0081176757812, 469.4587707519531, 0.002583591267466545]]",person 2
2,person,3,True,pose,0.8654203653335572,260,101,606,753,"[[406.6131286621094, 185.75759887695312, 0.9817652702331543], [402.0174255371094, 169.81431579589844, 0.2282736450433731], [394.5640563964844, 172.53610229492188, 0.9791126251220703], [374.88897705078125, 171.8983154296875, 0.0017351334681734443], [349.7664489746094, 178.42564392089844, 0.9420955181121826], [353.8802795410156, 251.03562927246094, 0.9815030097961426], [315.8747863769531, 268.4413757324219, 0.9887366890907288], [437.21368408203125, 340.16839599609375, 0.9955007433891296], [410.4849548339844, 386.61737060546875, 0.9978522062301636], [533.493896484375, 350.5675048828125, 0.9934626817703247], [530.088623046875, 368.5830078125, 0.992756187915802], [379.6171569824219, 475.56121826171875, 0.966585636138916], [353.3153076171875, 500.4012756347656, 0.9802756905555725], [555.6011352539062, 489.5559387207031, 0.9208781719207764], [556.69775390625, 525.8469848632812, 0.9746484160423279], [508.279052734375, 669.6845703125, 0.8275160789489746], [539.3809204101562, 713.89111328125, 0.896137535572052]]",person 3
3,person,1,True,pose,0.9450889229774475,787,90,1091,739,"[[952.89208984375, 161.03382873535156, 0.9772449135780334], [964.70458984375, 145.0483856201172, 0.9600867033004761], [956.0664672851562, 145.4597930908203, 0.23002108931541443], [1006.7039794921875, 151.12796020507812, 0.9079764485359192], [981.5445556640625, 149.69805908203125, 0.002619081875309348], [1045.1722412109375, 248.04931640625, 0.9943006038665771], [1002.4707641601562, 240.7917938232422, 0.9862276911735535], [971.94482421875, 368.8522033691406, 0.9946517944335938], [939.4161987304688, 330.448486328125, 0.9881932139396667], [863.9829711914062, 353.20208740234375, 0.9845898151397705], [852.9598999023438, 346.28955078125, 0.9769217371940613], [1018.90625, 485.8328857421875, 0.9860389232635498], [985.4456787109375, 467.7602233886719, 0.9817367792129517], [818.1799926757812, 510.7906494140625, 0.9584053754806519], [815.0963745117188, 479.3505554199219, 0.9005694389343262], [898.1519775390625, 673.7677612304688, 0.9860271215438843], [904.446533203125, 649.3592529296875, 0.9833875894546509]]",person 1
